,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
0,1000억 막걸리 프리바이오,탁주,5.0,750,쌀,3500,4.67,,3.0,,,4.0,3.0,3.0,
1,1000억 유산균막걸리,탁주,5.0,750,쌀,3200,4.27,,3.0,,,5.0,5.0,3.0,
2,1932 새싹땅콩 햅쌀막걸리,살균탁주,6.0,900,쌀,15000,16.67,,,,,2.0,3.0,2.0,
3,1932 새싹땅콩 흑미막걸리,살균탁주,6.0,900,쌀,15000,16.67,,,,,1.0,1.0,3.0,
4,33JU,일반증류주,18.0,500,"산양산삼,주정,결정과당,효소처리스테비아,에리스리톨,호박산,꿀",49000,98.0,3.0,1.0,4.0,1.0,,,,
5,52C,일반증류주,17.5,500,"정제수,주정,쌀증류식소주원액,오이",10000,20.0,3.0,2.0,4.0,2.0,,,,
6,G12 골디락스,탁주,12.0,500,"정제수,멥쌀",12000,24.0,,3.0,,,2.0,2.0,2.0,3.0
7,The 찾을수록 시리즈,과실주,14.0,360,"사과와인,정제수,정제주정외제품별농축액",9000,25.0,,2.0,,,2.0,3.0,4.0,
8,가덕 순쌀 막걸리,탁주,6.0,750,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",13500,18.0,,3.0,,,3.0,3.0,3.0,
9,가을빛 레드와인,과실주,14.0,750,포도,35000,46.67,,2.0,,,3.0,3.0,2.0,
10,가평 잣 막걸리,탁주,6.0,750,"쌀,정제수,쌀입국,잣,효모,정제효소등",1450,1.93,,,,,2.0,3.0,2.0,
11,감 보드카,일반증류주,32.0,375,감,14000,37.33,,3.0,2.0,4.0,,,,
12,감그린 레귤러,과실주,12.0,750,감,18000,24.0,,2.0,,,3.0,3.0,3.0,
13,감그린 스페셜,과실주,12.0,750,감,25000,33.33,,3.0,,,3.0,3.0,3.0,
14,감그린 아이스와인,과실주,10.0,375,감,89000,237.33,,4.0,,,2.0,2.0,4.0,
15,감사,약주,14.0,375,쌀,15000,40.0,,2.0,,,2.0,,2.0,
16,감아락 25도,일반증류주,25.0,500,"감증류원액,쌀",26000,52.0,2.0,2.0,2.0,,,,,
17,감악산 머루주,과실주,12.0,360,"국내산산머루원액,주정",28000,77.78,,3.0,,,4.0,3.0,4.0,
18,감이슬,일반증류주,23.0,375,감,10000,26.67,,2.0,2.0,2.0,,,,
19,감자술 13%,약주,13.0,700,백미,14000,20.0,,2.0,,,2.0,3.0,3.0,
20,감홍로 백자,일반증류주,40.0,700,쌀,75000,107.14,3.0,4.0,3.0,,,,,
21,감홍로 청자,일반증류주,40.0,700,쌀,90000,128.57,3.0,4.0,3.0,,,,,
22,강소주,일반증류주,50.0,200,"국내산쌀,정제수",11000,55.0,,3.0,4.0,2.0,,,,
23,강쇠,살균약주,13.0,370,"쌀,누룩,오가피",2500,6.76,,,,,2.0,1.0,2.0,
24,걍즐겨,탁주,8.0,600,찹쌀,6000,10.0,,3.0,,,4.0,3.0,3.0,
25,겨울소주 25,증류식소주,25.0,360,증류원액,10000,27.78,,4.0,4.0,3.0,,,,
26,경기전,기타주류,5.0,1000,보리,27000,27.0,,2.0,,,3.0,4.0,2.0,
27,계룡백일주 12년,리큐르,40.0,600,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",150000,250.0,3.0,4.0,3.0,,,,,
28,계룡백일주 16도,약주,16.0,700,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",37000,52.86,,,,,1.0,1.0,1.0,
