,상품명,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
0,DMZ 240km.jpg,2.0,3.0,1.0,,,,,
1,감 보드카.jpg,,3.0,2.0,4.0,,,,
2,감아락 25도.jpg,2.0,2.0,2.0,,,,,
3,감이슬.jpg,,2.0,2.0,2.0,,,,
4,감홍로 백자.jpg,3.0,4.0,3.0,,,,,
5,감홍로 청자.jpg,3.0,4.0,3.0,,,,,
6,강소주.jpg,,3.0,4.0,2.0,,,,
7,겨울소주 25.jpg,,4.0,4.0,3.0,,,,
8,계룡백일주 12년.jpg,3.0,4.0,3.0,,,,,
9,계룡백일주 30도.jpg,2.0,3.0,2.0,,,,,
10,계룡백일주 40도.jpg,3.0,3.0,3.0,,,,,
11,계룡산 산삼주 금수강산 21%.jpg,,2.0,2.0,2.0,,,,
12,계룡산 산삼주 금수강산 40%.jpg,,3.0,3.0,3.0,,,,
13,고구마 아락.jpg,2.0,3.0,3.0,,,,,
14,고운달 백자.jpg,,5.0,3.0,4.0,,,,
15,고운달 오크.jpg,,5.0,4.0,3.0,,,,
16,귀감.jpg,,3.0,3.0,2.0,,,,
17,금산인삼주 수삼단본 720ml 23도 .jpg,1.0,3.0,4.0,,,,,
18,금산인삼주 수삼단본 720ml 43도 .jpg,1.0,4.0,4.0,,,,,
19,김천 과하주 23도.jpg,1.0,2.0,1.0,,,,,
20,녹고의 눈물.jpg,2.0,3.0,2.0,,,,,
21,녹천 소곡화주 480ml.jpg,2.0,4.0,3.0,,,,,
22,녹천 소곡화주 500ml.jpg,2.0,3.0,3.0,,,,,
23,느낌 19.8.jpg,,2.0,2.0,2.0,,,,
24,느낌 30.jpg,,3.0,3.0,3.0,,,,
25,담양 죽력고.jpg,,3.0,4.0,3.0,,,,
26,독산 53.jpg,,4.0,2.0,5.0,,,,
27,동강더덕주.jpg,3.0,2.0,3.0,,,,,
28,두레앙 22.jpg,,4.0,1.0,2.0,,,,
29,두레앙 증류주.jpg,2.0,2.0,2.0,,,,,
30,두리향.jpg,,4.0,3.0,3.0,,,,
31,려(驪)고구마증류소주 25도.jpg,,3.0,2.0,1.0,,,,
32,려(驪)고구마증류소주 40도.jpg,,3.0,2.0,2.0,,,,
33,려(驪)증류소주 25도.jpg,,1.0,3.0,1.0,,,,
34,로얄 안동소주 18년.jpg,3.0,4.0,1.0,,,,,
35,르깔롱.jpg,,4.0,4.0,4.0,,,,
36,마주 소곡화주.jpg,,4.0,3.0,3.0,,,,
37,막시모40.jpg,,3.0,4.0,3.0,,,,
38,매실원주 15도.jpg,3.0,3.0,2.0,,,,,
39,메밀로.jpg,,4.0,3.0,3.0,,,,
40,명술 375ml.jpg,2.0,3.0,2.0,,,,,
41,명인 안동소주 22도.jpg,1.0,2.0,1.0,,,,,
42,명인 안동소주 양반탈.jpg,1.0,3.0,1.0,,,,,
43,명인 안동소주 호리병.jpg,1.0,3.0,1.0,,,,,
44,명품 진도홍주.jpg,3.0,3.0,3.0,,,,,
45,모월 로.jpg,,2.0,3.0,2.0,,,,
46,모월 인.jpg,,3.0,4.0,3.0,,,,
47,모을동주 소주.jpg,,4.0,3.0,4.0,,,,
48,문경바람 백자 25%.jpg,,3.0,3.0,4.0,,,,
49,문경바람 백자 40%.jpg,,4.0,3.0,4.0,,,,
50,문경바람 오크.jpg,,4.0,4.0,4.0,,,,
51,문배술 헤리티지 25도.jpg,1.0,1.0,2.0,,,,,
52,민속주 안동소주 400ml.jpg,1.0,4.0,1.0,,,,,
53,민속주 안동소주 600ml.jpg,1.0,4.0,1.0,,,,,
54,민속주 안동소주 800ml.jpg,1.0,4.0,1.0,,,,,
55,배도가 로아 40도 옐로우.jpg,2.0,3.0,2.0,,,,,
56,병영설성사또.jpg,,3.0,4.0,3.0,,,,
57,복분자 아락.jpg,2.0,3.0,3.0,,,,,
58,불소곡주.jpg,2.0,4.0,3.0,,,,,
59,샤토미소 영동.jpg,,4.0,3.0,2.0,,,,
60,서울의 밤.jpg,,2.0,4.0,1.0,,,,
61,설궁.jpg,2.0,2.0,2.0,,,,,
62,설레온.jpg,2.0,3.0,1.0,,,,,
63,세우리.jpg,,4.0,5.0,3.0,,,,
64,송화백일주.jpg,,3.0,3.0,3.0,,,,
65,신례명주.jpg,,4.0,4.0,2.0,,,,
66,안동소주 일품 17도.jpg,3.0,2.0,1.0,,,,,
67,안동소주 일품 21도.jpg,3.0,2.0,1.0,,,,,
68,안동소주 일품 40도 골드.jpg,3.0,3.0,1.0,,,,,
69,어우야.jpg,,2.0,2.0,3.0,,,,
70,여강.jpg,,3.0,3.0,2.0,,,,
71,연천 우주.jpg,,3.0,3.0,2.0,,,,
72,예담은 한산소곡화주.jpg,3.0,3.0,2.0,,,,,
73,예천주 사월24.jpg,,2.0,3.0,2.0,,,,
