,상품명
0,레돔 내추럴 스파클링 로제와인
1,서울의 밤
2,제주 고소리술
3,오메기 술
4,티나
5,붉은 원숭이
6,인천 생 소성주
7,송명섭 막걸리
8,이강주 375ml
9,1000억 유산균막걸리
10,청송 주왕 사과막걸리
11,고소리 술
12,니모메
13,김포예주 프리미엄
14,죽력고
15,매실원주 15도_300ml
16,오매락퍽_500ml
17,조선주조사
18,고운달 오크
19,느린마을 막걸리
20,담은
21,녹고의눈물_700ml
22,황진이_375ml
23,문경바람 오크
24,오메기 맑은술
25,톡 쏘는 알밤동동
26,이화주
27,고소리 술
28,대통대잎술 십오야
29,안동소주 일품 21도_350ml
30,맑은내일 Winery 단감명작
31,월매 쌀막걸리
32,한산소곡주
33,원매 프리미엄_700ml
34,1000억 막걸리 프리바이오
35,은자골 생 탁배기
36,담솔 40%
37,강쇠_370ml
38,풍정사계 춘_500ml
39,타미앙스
40,이화백주
41,복순도가 손 막걸리
42,천매_600ml
43,뱅꼬레로제_375ml
44,맑은내일 발효막걸리
45,장수 생 막걸리_750ml
46,명작복분자_375ml
47,녹파주
48,안동소주 일품 40도 골드_500ml
49,복분자음_375ml
50,추사백25
51,밤꽃향기
52,고운달 백자
53,옛날 막걸리 古
54,선운산 복분자주
55,원매_750ml
56,한산소곡주
57,명품 진도홍주_375ml
58,청명주 500
59,The 찾을수록 시리즈
60,이강주 특7호
61,황금보리소주17
62,천비향 오양주 약주
63,병영소주
64,도깨비술 7%
65,그랑꼬또 로제와인
66,송이주
67,구름을 벗삼아
68,대대포 생막걸리
69,장홍삼 장수 막걸리_750ml
70,동학 1957
71,지란지교 탁주
72,금정산성 막걸리_750ml
73,문경바람 백자 40%
74,세우리
75,내장산 복분자주 지통1호
76,문경바람 백자 25%
77,황금보리소주25
78,부자 10
79,산막 생유 막걸리_750ml
80,화주
81,회곡 생 막걸리
82,크라테 레드와인 드라이
83,삼양춘 청주
84,지평 생 옛막걸리
85,양촌 생 막걸리
86,삼양춘 생탁주
87,동정춘
88,해미읍성 딸기와인
89,도깨비술 11%
90,해창 생 막걸리 12도
91,줄포 생 막걸리_750ml
92,려(驪)증류소주 25도
93,매실 막걸리_750ml
94,선호 생막걸리
95,오미자 생막걸리
96,희양산막걸리 9%
97,동몽
98,무주 구천동 머루와인_750ml
99,설궁_700ml
100,김포약주 PET
101,뱅꼬레레드_375ml
102,예천주복 만월24
103,겨울소주 25
104,창원 생탁주
105,자희향
106,진도홍주 루비콘_375ml
107,소백산 생 막걸리
108,안동소주 일품 17도_350ml
109,문배술헤리티지25_375ml
110,안동소주 양반탈_800ml
111,백운 복분자 와인_300ml
112,삼양춘 생약주
113,송화백일주
114,나루 생막걸리 11.5%
115,장수 오미자주
116,해창 생 막걸리 6도
117,풍정사계 추_500ml
118,부안 참뽕 막걸리_950ml
119,문희 '햇찹쌀 수제 전통주'
120,김포특주
121,능이주
122,두레앙 22
123,세종대왕어주 탁주
124,세종대왕어주 약주
125,안양 동동주
126,52C
127,술취한 원숭이
128,지평 생 쌀막걸리
129,추사40
130,그랑꼬또 청수_750ml
131,풍정사계 동_375ml
132,추사 애플와인_375ml
133,지장수 생막걸리
134,천지주가 생 막걸리
135,김포 막걸리
136,이상헌 탁주
137,하향주
138,진맥소주 40%
139,소나무와 학_750ml
140,감홍로 백자_700ml
141,문배술 헤리티지 23도_375ml
142,풍정사계 하_500ml
143,문배술 헤리티지 40도_200ml
144,백련 생막걸리 Misty
145,두레앙 브랜디_750ml
146,DMZ 240km_450ml
147,강소주
148,아황주
149,청명주 750
150,여포의 꿈 (레드 드라이)
151,죽향 생막걸리
152,희양산막걸리 15%
153,맑은내일 우포
154,안동소주 22도_360ml
155,양촌 우렁이쌀 손 막걸리
156,오디랑
157,민속주 안동소주_600ml
158,지장수 호박 막걸리
159,머루 이야기_375ml
160,영일만친구 막걸리
161,원조소곡화주_300ml
162,지란지교 무화과 탁주
163,신선주_750ml
164,한주
165,민속주안동소주_400ml
166,미인약주
167,모월 인
168,편백숲 산소막걸리 딸기스파클링
169,설련주
170,백년향
171,운암1945
172,추성주
173,한산소곡주_생주
174,까메오 막걸리
175,천년전주 생 막걸리
176,불소곡주_700ml
177,려(驪)고구마증류소주 40도
178,우도 땅콩 전통주
179,펀치 쌀 바나나_750ml
180,두레앙 와인_750ml
181,산막대덕주_600ml
182,고구마 아락_500ml
183,배도가 로아 40도 옐로우_350ml
184,면천두견주 700ml
185,바나나 주
186,지리산정담생쌀 막걸리_750ml
187,천비향 화주
188,석로주
189,황금보리소주40
190,술아 국화주
191,복숭아와인
192,고창복분자주300
193,술공방 9.0 생막걸리
194,정고집 나주쌀 생막걸리
195,석탄주 약주
196,그랑꼬또 레드와인
197,행운 막걸리
198,볼빨간막걸리 10
199,시나브로 화이트와인
200,진맥소주 53%
201,이도 32
202,여포의 꿈(화이트)
203,로얄 안동소주 18년_600ml
204,백련 맑은술
205,만강에 비친 달
206,김천 과하주 23도_700ml
207,감사
208,동강더덕주_360ml
209,호모루덴스
210,천비향 오양주 탁주
211,술예쁘다 생탁주
212,해파랑
213,사과와인
214,예천주복 만월40
215,순향주
216,애석
217,진맥소주 22%
218,도깨비술 9%
219,느낌 30
220,심플리 애플
221,유기농 이도 42
222,메로니아
223,지장수 호박 생 막걸리
224,맑은 문희주
225,미르40
226,부안 참뽕 와인_750ml
227,천안 연미주_360ml
228,그랑티 그르 S1974_375ml
229,감아락 25도_500ml
230,컨츄리캠벨 (스위트)
231,소백산 청 동동주
232,수삼단본 43도_720ml
233,고창복분자주1800
234,향수 우리밀 막걸리
235,계룡산 산삼주 금수강산 21%
236,김포약주 유리병
237,황칠주
238,젤코바 캠벨와인
239,성포 생막걸리
240,오매백주
241,지란지교 약주
242,G12 골디락스
243,이강주 2호
244,가평 잣 막걸리
245,자연송이주_700ml
246,이동 쌀 막걸리
247,복분자 아락_500ml
248,1932 새싹땅콩 햅쌀막걸리
249,1932 새싹땅콩 흑미막걸리
250,자희향 국화주
251,설성 만월 막걸리(유기농쌀 100%)
252,유자 생 막걸리_750ml
253,청춘_750ml
254,명술_375ml
255,백운 복분자주_360ml
256,예담은 한산소곡화주_500ml
257,청산녹수 꿀막걸리
258,다랭이팜 유자 막걸리
259,고도리 복숭아와인
260,면천두견주 900ml
261,오미로제 프리미어와인
262,명인 홍삼주_375ml
263,청진주
264,진쾌남
265,감그린 스페셜
266,공주애 오디와인
267,스타베리오디_500ml
268,레돔 시드르
269,어우야
270,산정호수 동정춘막걸리
271,선운산 복분자와인
272,감 보드카
273,남산애 레드와인
274,홍로
275,이상헌 약주
276,대작 생막걸리
277,동해 동동주
278,크라테 로제와인
279,샤토미소 레드 프리미엄 드라이
280,오목대
281,모월 로
282,산내울 사과애주
283,배도가 로아 19 레드
284,호랑이 생 막걸리
285,야관문 쌀 막걸리_750ml
286,자연담은 복분자막걸리_360ml
287,아이싱 자몽(iCing Grapefruit)
288,지평 생 쌀막걸리
289,그랑꼬또 M56
290,평창머루주_360ml
291,청양 둔송 구기주_700ml
292,해창 생 막걸리 9도
293,우곡생주
294,명가원 복분자술
295,원조 한산소곡주_750ml
296,오희 스파클링 막걸리
297,평창 오디주_360ml
298,복분자주 360
299,홍삼진심 인삼주 (2set)
300,뱅꼬레화이트_375ml
301,쿨샷7.5
302,정고집 옛날 생동동주
303,예밀와인 로제
304,시나브로 에뚜왈 스파클링와인
305,봉하쌀 생막걸리
306,뉴트로
307,메밀로
308,병영설성 생막걸리
309,모월 연
310,청남대 블루베리 막걸리
311,기다림 맑은술
312,마주 소곡주
313,걍즐겨
314,유자 동동주
315,별바랑
316,율무 동동주
317,33JU
318,샤토미소 스위트 로제
319,이동 생 쌀 막걸리
320,려(驪)고구마증류소주 25도
