,상품명,주종,도수,용량,가격,원재료,제조사,대표자명,주소,연락처,온라인스토어,홈페이지,우리술 품평회,가격수정
0,레돔 내추럴 스파클링 로제와인,과실주,7.5%,750ml,"￦38,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(99.99%),농업회사법인 작은알자스,신용숙,충북 충주시 엄정면 도자기길 32,010-8607-2856,https://shopping.naver.com/fresh/traditionalalcohol/stores/100308760,,,38000
1,서울의 밤,리큐르,25%,375ml,"￦7,500(가격은 판매처 별로 상이할 수 있습니다.)","매실증류주원액, 
                                        벌꿀, 
                                        포도당, 
                                        노간주나무열매, 
                                        정제수",더한주류,한상헌,서울시 은평구 증산로7길 28-13,02-2280-8080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100079873,,,7500
2,제주 고소리술,증류식소주,40%,400ml,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)","잡곡, 
                                        누룩, 
                                        정제수",제주술익는집,김희숙,제주특별자치도 서귀포시 표선면 중산간동로 4726,064-787-5046,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113496,,,45000
3,오메기 술,약주,13%,375ml,"￦13,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 차조, 입국, 누룩, 효모, 효소, 청호, 조릿대, 감초, 정제수",제주샘영농조합법인,김숙희,제주특별자치도 제주시 애월읍 애원로 283,064) 799-4225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074415,,,13000
4,티나,리큐르,16%,750ml,"￦54,000 (가격은 판매처 별로 상이할 수 있습니다)","딸기추출물, 
                                        죽력, 
                                        정제수, 
                                        주정, 
                                        액상과당(포도당), 
                                        구연산, 
                                        딸기향, 
                                        망고향",추성고을,양대수,전남 담양군 용면 추령로 29,061-383-3011,https://smartstore.naver.com/cs3011/products/4694771979,,,54000
5,붉은 원숭이,살균탁주,10.8%,375ml,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘,신인건,경기도 용인시 처인구 양지면 죽양대로 2298-1,070) 4218-5225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076876,,,7000
6,인천 생 소성주,탁주,6%,750ml,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당",인천탁주,정규성,인천광역시 부평구 안남로 433번길 14,032) 518-7111,,http://sosungju.modoo.at/,,1200
7,송명섭 막걸리,탁주,6%,900ml,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산쌀, 
                                        곡자, 
                                        정제수",태인합동주조,송명섭,전북 정읍시 태인면 태흥리 392-1,063-534-4018,,https://taein.modoo.at,,3000
8,이강주 375ml,리큐르,19%,375ml,"￦4,500 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",전주 이강주,조정형,전주시 덕진구 매암길 28,063) 212-5765,https://shopping.naver.com/fresh/traditionalalcohol/stores/100114116,,,4500
9,1000억 유산균막걸리,탁주,5%,750ml,"￦3,200 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        밀(국내산), 
                                        누룩, 
                                        정제수",(주)국순당,배상민,강원도 횡성군 둔내면 강변로 975,02-513-8500,,http://www.ksdb.co.kr,,3200
10,청송 주왕 사과막걸리,탁주,6%,750ml,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        밀가루, 
                                        누룩, 
                                        입국, 
                                        효모, 
                                        아스파탐, 
                                        청송사과액즙, 
                                        정제수",청송양조장,정우기,경북 청송군 부남면 대전로 121-1,054-872-4300,,https://cheongsongsul.modoo.at,,1500
11,고소리 술,증류식소주,40%,700ml,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 차조, 입국, 누룩, 효모, 효소, 정제수, 스테비올 배당체",제주샘영농조합법인,김숙희,제주특별자치도 제주시 애월읍 애원로 283,064) 799-4225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074415,,,45000
12,니모메,약주,11%,375ml,"￦36,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        감귤 진피, 
                                        정제수",제주샘영농조합법인,김숙희,제주특별자치도 제주시 애월읍 애원로 283,064-799-4225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074415,,,36000
13,김포예주 프리미엄,살균약주,13%,750ml,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        국, 
                                        효모, 
                                        젖산, 
                                        정제수",김포양조,최형만,경기도 김포시 월곶면 김포대로 2763,031-989-5568,,http://www.kimpo.co.kr,,15000
14,죽력고,일반증류주,32%,700ml,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산쌀, 
                                        죽력, 
                                        누룩, 
                                        정제수",태인합동주조,송명섭,전북 정읍시 태인면 태흥리 392-1,063-534-4018,,https://taein.modoo.at,,60000
15,매실원주 15도_300ml,리큐르,15%,300ml,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)","매실주원액, 
                                        발효주정, 
                                        정제수, 
                                        꿀",더한주류,한상헌,서울시 은평구 증산로7길 28-13,02-2280-8080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100079873,,,6000
16,오매락퍽_500ml,리큐르,40%,500ml,"￦52,000(가격은 판매처 별로 상이할 수 있습니다.)","구운매실, 
                                        배증류원액",(주)배상면주가,배영호,경기도 포천시 화현면 화동로 432번길 25,02-6917-8888,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074175,,,52000
