,상품명,정보,특징,맛_음식
0,레돔 내추럴 스파클링 로제와인,레돔 내추럴 스파클링 로제와인은 프랑스 농부가 한국 포도로 만든 와인이다. 내추럴 로제 말 그대로 가벼운 분홍빛 와인이다. 여기에 천연 발효된 버블이 들어간 것이 스파클링한 맛을 전해준다. 레드와인의 묵직함과는 달리 알코올 도수가 7.5%로 비교적 낮아 신선하고 심플한 맛이 나서 가볍게 마실 수 있는 제품이다. 프랑스 농가의 전통발효기법으로 만들고 여타의 식품 첨가물을 넣지 않은 자연주의 와인이다., 자연이 스스로 빚은 無감미료 순수한 와인 작은 알자스에서 만드는 레돔LESDOM 와인은 제조시 설탕이나 효모를 넣지 않는다. 과일에는 원래 자연그대로의 효모가 가득 붙어 있다. 과일을 착즙한 뒤 그 즙 그대로 발효 탱크에 넣는다. 각양각색의 특징을 가진 야생효모들은 천천히 발효를 시작한다. 레돔은 자연이 주는 그대로의 소리와 냄새로 가득한 와이너리이다.  좋은 와인은 좋은 농부의 손에서 탄생한다. 작은 알자스의 와인철학은 좋은 와인은 좋은 농부의 손에서 탄생한다는 것이다. 좋은 와인을 만들기 위해 무엇보다 좋은 농부가 되고자 한다. 좋은 농부라 함은 땅을 사랑하는 농부이다. 과일나무를 키우면서 땅도 더불어 키우는 농부이다. 농사를 잘 짓는 사람이 좋은 술을 빚어낸다는 것이 프랑스 농부의 생각이다. 대량생산보다는 과일 밭에서부터 술에 이르기까지 농부의 손길이 느껴지는 장인의 술을 만들고자 한다.  누구나 가볍게 즐길 수 있는 캐주얼 와인 사람들이 맛있다고 생각하는 와인의 맛에는 수많은 인위적인 기법들이 동원된다. 작은 알자스는 인간의 입에 맞는 와인에 초점을 두지 않는다. 자연이 주는 대로 받아들이는 와인을 만들고자 한다. 원래 땅이 가진 그대로의 특징과 그해의 바람과 햇빛을 느끼고 농부의 땀을 느낄 수 있는 내추럴 와인기법으로 만든다. 레돔 내추럴 스파클링 로제와인은 천연발효에서 나오는 기포의 톡 쏘는 맛을 느낄 수 있는 상쾌한 와인이다.,"레돔 내추럴 스파클링 로제와인, 750ml, 7.5% 상큼한 포도 향이 그대로 느껴지는 충주의 스파클링 와인. 코르크를 열면 펑하는 소리가 샴페인을 그대로 떠오르게 한다. 가볍고 경쾌한 느낌이 신선하다는 이미지를 그대로 느끼게 해 준다. 여운은 길지 않지만, 잔잔한 과실향이 입안을 맴돈다. 식전주로도 좋지만, 단맛이 과하지 않아 식중주로도 충분히 쓰일 수 있다."
1,서울의 밤,천매 매실원주 원매 프리미엄 원매 등 매실주를 전문으로 생산하고 있는 더한주류에서 2018년 새롭게 출시한 황매실을 원료로 증류주이다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 제품을 만든다는 제품 철학으로 황매를 이용한다. 서울의 밤은 스트레이트로 맛을 느끼고 언더락을 풍부한 향을 느끼고 칵테일로 완벽한 조화를 경험할 수 있는 새로운 차원의 매실 증류주이다.," 좋은 재료, 좋은 사람, 좋은 제품 더한주류는 최상의 원료로 정직과 정성으로 최상의 제품을 만든다는 철학을 고집한다. 한씨 집안에 선대로부터 내려오는 제조방법으로 국내 최초의 황매실과 매실청, 천연 꿀을 가미한 매실주를 현대적인 시스템을 기반으로 탄생시켰다. 두산에서 백화수복 처음처럼 등의 성공작을 만든 박경준 고문과의 조우를 통해 국내 최초의 황매실을 활용한 증류주를 출시했다. 서울의 밤의 절묘한 맛의 밸런스는 진처럼 지배적이지 않고 보드카처럼 사라지지 않는다.,  변함 없는 재료에 대한 철학 서울의 밤은 황매실 100%를 고집하여 만들어진다. 수확의 어려움, 보관의 까다로움을 기꺼이 껴안으며 원료에 대한 철학을 확고히 하고 있다. 수확의 어려움을 자체적으로 가지고 있는 매실 밭에서 해결하고 보관의 까다로움을 급속냉동방식의 특허로 혁신하였다. 번거로움이 따라 타 업계들이 청매실을 사용할 때에도 더한주류는 그 번거로움을 마다치 않으며 최고의 원료만을 사용하고 있다.,  국내외 주류품평회 수상, 수상, 또 수상 대한민국 우리술품평회 리큐르부문 최우수상(2014), 대상(2016) 수상, 대한민국 주류대상 리큐르 부문 2년 연속 금상 수상(2015, 2016), 세계 3대 주류품평회 몽드셀렉션 3년 연속 금상 수상, 샌프란시스코 주류품평회(SWSC) 2년 연속 은상 수상, 영국 주류품평회(IWSC) 은상 수상(2014) 등 원매를 생산하는 더한주류의 국내외 수상 기록은 즐비하다. 한국을 넘어 세계인이 인정한 매실을 활용한 제품력이 빛을 발하고 있다.","서울의 밤, 375ml, 25% 노간주나무열매가 들어간 진(GIN)의 느낌에 달콤한 향이 섞여 올라오는 것이 특징이다. 약간의 단맛이 술의 풍미를 좋게 만들고 입 안의 자극을 줄여준다. 입 안의 알코올 풍미가 가득하고 마시고 난 후에는 여운이 길게 남는다. 삼겹살과 아주 잘 어울린다."
2,제주 고소리술,제주 고소리술은 한 때 개성소주 안동소주와 더불어 우리나라 3대 소주로 손꼽을 정도로 그 명성을 떨쳤다. 향기롭고 진한 맛과 순한 듯 하면서도 은근하게 올라오는 취기로 술을 마시는 흥취가 있고 숙취가 없다고 한다. 제주 고소리술은 시간이 빚은 술이라고도 한다. 모든 과정이 손맛으로 빚어지고 오랜 기간 저온 항아리 숙성으로 부드럽고 목 넘김이 좋다.," 탐라시대부터 내려온 전통방식 그대로! 제주를 대표하는 고소리술은 오메기술이 등장하고 나서 수백 년의 세월이 지난 다음 고려시대 몽골인이 제주에 정착하면서 전래된 술이다. 제주도와 마찬가지로 지금도 개성과 안동에 소주가 유명한 것은 고려시대 몽고군이 그 지역에 주둔했던 결과이다. 몽고군은 일본 정벌을 위해 병참기지로 제주도에 주둔하며 증류주 제조기법을 전하게 되고 이후 조선시대에 널리 보급되어 저장용 술로 자리잡아 제주도를 대표하는 술이 되었다. 제주 고소리술은 인공적인 일체의 첨가물 없이 옛 전통방식 그대로 제조하여 그 전통을 잇고 있다.,  공장이 아닌 자연으로, 기계가 아닌 사람의 손으로! 제주 고소리술은 고소리술 무형문화재 기능보유자인 김을정 할머니와 전수자에 의해 빚어지고 있다. 술이 대량생산으로 규격화 되고 있는 현재, 오래전 한국의 소중한 술 문화인 가양주 문화가 사라지는 것을 보며 제주술익는집은 양조 시설의 현대화를 과감히 포기하고 전통방식으로 술을 빚고 있다. 술을 빚는 것은 공장이 아닌 자연이며, 기계가 아닌 사람의 손이라는 것을 모토로 오늘도 자연과 함께 느림의 미학으로 술을 빚고 있다.,  2018년 찾아가는 양조장으로 선정되다 제조사 제주술익는집은 2018년 찾아가는 양조장으로 선정되었다. 찾아가는 양조장은 농림축산식품부에서 엄격한 심사를 통해 선정하여 양조장 체험과 지역 관광 등을 연계시키는 양조장 문화관광 상품이다. 제주술익는집에서는 제주도를 대표하는 오메기술, 고소리술과 함께 토속음식 등에 대한 교육과 술빚기 체험 등 흥미로운 체험교육 프로그램을 운영하고 있다.","제주 고소리술, 400ml, 40% 우리나라의 전통증류기인 토기로 만든 고소리(소줏고리)로 직접 내려 매우 귀한 소주이다. 상압증류(일반 기압에서 증류)로 증류해 맛과 향의 풍미가 강하고 좁쌀과 보리가 들어가 독특한 크림 같은 맛을 지니고 있으며, 기본 3년 숙성된 술이라 매우 부드러운 목 넘김을 가지고 있다. 기름기 많은 고등어 회와 잘 어울린다."
3,오메기 술,제주도는 예로부터 물이 귀한 특성상 논이 많지 않았다. 때문에 쌀이 귀했던 제주에서는 쌀 대신 많이 재배 하는 차조로 술을 빚기 시작했고 그로 인해 제주만의 특별한 전통주가 전해지게 되었다. 제주샘주는 전통방식을 재현하며 꾸준한 연구로 현대인의 기호에 맞게 발전 시키고 있으며 제주 화산 암반수와 청정 농산물 등 오롯이 제주의 원재료를 이용하여 바람과 햇살로 숙성시켜 자연의 맛으로 빚어내고 있다. 오메기는 좁쌀의 제주도 방언으로 결국 좁쌀로 만들어진 술이라는 뜻이다. 오메기떡을 사용하여 누룩과 함께 발효시킨 오메기술은 제주 선인들이 장구한 세월 동안 발전 시켜온 독특한 제주 전통 약주로써 다양한 연령층이 마시기 좋은 술이다.," 오메기 떡 오메기술을 만들려면 우선 오메기 떡을 만들어야 한다. 오메기 떡은 차좁쌀을 가루로 만들어 반죽한 후, 끓는 물에 삶아내 건진다. 다 삶아진 오메기 떡을 잘 으깨 누룩가루와 물을 섞어 항아리에 넣고 일주일 정도 발효시키면 상층부에 맑은 청주인 오메기 술이 탄생하게 된다.  느림의 술 좁쌀이 술이 되어가는 제주샘주의 술은 오랜 시간의 발효, 숙성의 기간을 정성스럽게 거치게 된다. 제주지역에서 자라는 청정 농산물을 엄격하게 선별하여 화산 천연 암반수로 빚는 술은 2번의 여과를 통해 깔끔하고 맑게 재 탄생한다. 마지막으로 살균 과정을 거치게 되면, 안심하고 마실 수 있는 술이 완성된다.  찾아가는 양조장 제주샘주 양조장은 찾아가는 양조장으로 많은 관광객들이 술 뿐만이 아니라 칵테일체험, 쉰다리 만들기 체험, 오메기떡 만들기 체험, 술 시음 등 다양한 체험 활동이 가능하며 애월읍의 주변 관광도 가능하다., 제주샘주를 찾아와 다양한 문화를 즐길 수 있도록 많은 정성을 쏟고 있으며 또한 자체 지하수를 보유하고 있어 제주만의 청정지하암반수를 그대로 마셔볼 수 있는 소비자와 가까이 있는 양조장이다.","오메기 술 750ml, 13% 상쾌하게 올라오는 과실향이 난다. 입 안에 넣으면 부드러운 바닐라 아이스크림이 녹는 듯 독특한 향미를 가지고 있다. 입 안에서 맛이 더 풍만해진다. 고사리 무침, 전 등의 음식과 함께하면 좋다."
4,티나,티나는 추성주로 22대 대한민국 식품명인에 지정된 양대수 명인이 출시한 젊은감각의 전통주이다. 국내산 신선한 딸기와 담양의 명품 대나무에서 나온 죽력을 원료로 만들며 주종은 리큐르로 분류된다. 딸기향과 맛이 풍부하고 온더락 칵테일 등으로 마실 수 있는 파티용 술이다. 병 하단에 부착된 버튼을 누르면 은은한 붉은빛 조명이 켜져 달콤한 술 맛과 함께 술자리의 분위기를 북돋아 준다. 2019년 대한민국 우리술품평회 기타주류부문에서 우수상을 수상하였다.," 대나무의 고장 담양답게 죽력이 첨가된 특별한 술 명렬한 기세로 땅을 뚫고 하늘로 치솟는 대나무의 성질을 전통방법으로 담아내어 만든 것이 죽력, 즉 대나무의 수액이다. 죽력은 알칼리성의 건강식품으로 오래전부터 가정상비약으로 요긴하게 쓰인 민간약재이다. 죽력을 이용해 술을 빚은 것이 육당 최남선이 조선3대 명주로 꼽았던 죽력고이다. 죽력이 첨가되면 은은한 단맛과 대나무향이 어우러져 술의 풍미가 깊어진다.  대한민국 식품명인이 빚은 장인의 술 제조사 추성고을은 대한민국 식품명인 양대수 명인의 손길을 거쳐 국내외에서 사랑받고 있는 다양한 술이 빚어진다. 추성주, 대잎술, 타미앙스 그리고 최근에는 젊은고객을 대상으로한 파티용 전통주인 르깔롱과 티나를 선보이고 있다. 4대를 이어 술을 빚고 있는 양대수 명인은 고문헌의 전통주를 복원하여 전통을 이어가는 것도 중요하지만 전통주를 대중화할 수 있는 현대를 살아가는 소비자의 기호에 맞는 새로운 전통주가 개발도 함께 병행되어야 한다고 말한다.  전통주 체험이 가능한 찾아가는 양조장 제조사 추성고을은 전통주 문화 체험과 지역 관광을 연계하여 농업의 6차산업을 이끌고 있는 찾아가는 양조장에 선정된 곳이다. 농림축산식품부에서는 매년 전국 양조장 중에서 우수한 환경의 양조장을 선별하여 찾아가는 양조장으로 지정하고 있다. 추성고을을 방문하면 명인주의 유래와 전통주 관련 다양한 이야기, 전통주 만들기 체험, 그리고 인근 추월산, 금성산성, 죽녹원 등의 관광을 연계하는 프로그램을 경험할 수 있다.","티나, 750ml, 16% 달콤한 딸기향에 예쁜 핑크색을 가진 술이다. 마치 맛있는 딸기사탕을 먹는 듯 하다. 알코올 도수가 낮아 누구나 편하게 즐길 수 있고, 색이 예쁘고 밤에 조명도 켜지기 때문에 로맨틱한 분위기를 연출한다. 여성들이 분위기 있는 곳에서 달콤하게 즐길 수 있는 술이다. 양념된 안주류보다는 캐러멜이나 케익 등과 함께하기 좋은 술이다."
5,붉은 원숭이,술샘에서는 장미를 그대로 말려놓은 것 같은 매력적인 붉은색 자태를 뽐내는 붉은 원숭이를 빚고 있다. 홍국쌀은 경기미를 자연발효 시켜 만드는 쌀로 이를 이용해 100% 수작업으로 붉은 원숭이를 빚는다. 슈퍼푸드라고 불리는 붉은색의 홍국쌀에는 성인병 예방에 도움을 주는 모나콜린K 성분을 함유하여 콜레스테롤 저하 중성지방 감소에 도움을 주는 것으로 알려져 많은 관심을 받고 있다.," 홍국쌀 홍국쌀은 쌀에 붉은색을 띄는 곰팡이를 고체로 발효한 뒤 쌀을 발효시켜 만드는 쌀이다. 쌀 자체에 특별한 맛을 가지고 있지는 않지만 혈중 콜레스테롤 저하의 효과가 있는 모나콜린K 성분이 함유되어 기능성 쌀로 잘 알려져 있다.  무색소의 붉은색 붉은 원숭이는 100% 경기미를 사용하여 누룩과 물로 만들어내고 있다. 이 술이 띄고 있는 장밋빛의 붉은색은 합성 감미료 뿐 아니라 색소조차 들어가지 않은 무첨가 막걸리로 홍국쌀만을 이용하여 내고 있다. 이 홍국쌀이 주는 붉은색은 붉은원숭이의 트레이드 마크인 샘이다.,  술샘의 전문인력 술샘 양조장은 구성원 전원이 전문가 과정을 수료한 전문인력이다. 이 전문가들이 모여 전통주 제조에 필요한 전통 누룩제조 기술을 보유하고 있으며, 막걸리의 누룩인 이화곡, 미인국 등의 누룩과 누룩소금, 천연 발효식초 등 다양한 발효식품을 생산하고 있다.","붉은원숭이 375ml, 10.8% 홍곡균을 이용해 색이 붉고 전체적으로 단맛, 신맛, 바디감 등이 적거나 강하지 않고 누구나 편하게 마실 수 있는 막걸리다. 불에 훈연된 바비큐와 잘 어울린다."
6,인천 생 소성주,1990년 업계 최초로 쌀 막걸리를 출시한 인천탁주. 90년대 초부터 수출을 시작하고 92년 우수 포장선정 국세청장의 표창까지 받은 유서 깊은 양조으로 인천지역 막걸리 시장의 큰손으로 자리매김하고 있다. 지난 1974년 인천지역의 11개 양조장의 합병으로 만들어져 72년간의 오랜 경험을 바탕으로 인천의 자부심을 가지고 막걸리를 빚고 있다. 생 소성주는 숙성시간과 담금 횟수를 늘려 부드럽고 톡 쏘는 탄산의 상쾌한 청량감이 느껴지며 특유의 감칠맛이 매력적이다.," 인천과 함께 인천 생 소성주의 막걸리 병에 프로축구 K리그의 인천유나이티드 선수단의 라벨이 들어가 있어 이 소성주의 판매 수익금의 일부를 인천 유나이티드 축구단과 함께 기부하고 있다. 인천에서 빚어 인천과 함께하는 우리의 전통 막걸리가 인천을 대표하고 있는 셈이다.  나눔의 인천탁주 인천이 아니었다면 인천탁주도 없었다. 당연한 말이겠지만, 한국 막걸리의 가장 큰 특징을 꼽으라면 바로 그 지역, 로컬성이다. 우리의 문화 속에서 막걸리는 그 지역에서 함께했고 소비의 대부분은 로컬 안에서 이루어졌다. 인천탁주는 인천과 함께했던 오랜 세월의 그 고마움을 담아 사회에 다시 환원하고 있다. 2014년 11월 사랑의 열매 대상(기부 분야 금상), 2015년 8월 제1회 행복나눔상 수상 (보건복지부) 등 이익을 사회와 나누고 있으며 아너 소사이어티에 가입하는 등 주위의 어려운 곳을 둘러보고 있다.  인천 막걸리의 역사 2015년에는 인천막걸리의 역사도 제대로 모르고 오랜 시간을 보내왔다며 모든 직원이 막걸리의 역사를 제대로 공부해야겠다는 취지아래 인천탁주 역사관을 만들었다. 아직 자료들이 미비하여 일반인에게 공개하기는 부끄러운 수준이지만, 차근차근 자료를 수집하고 정리해 많은 사람들이 다녀갈 수 있는 막걸리 박물관을 만들 계획이다. 인천탁주의 역사가 길어질 수록 박물관의 가치는 더욱 높아갈 것 이다.","인천 생 소성주 750ml, 6% 원료인 팽화미에서 나오는 고소한 향이 올라오는 것이 특징이다. 전체적으로 바디감과 목넘김이 청량하고 가벼우며 삼킨 후 남는 은은한 텁텁함이 좋다. 생선회와 잘 어울린다."
7,송명섭 막걸리,막걸리 마니아들이 흔쾌히 국내 최고의 막걸리라고 손꼽는 송명섭 막걸리의 대표 송명섭 명인이 빚는 막걸리로 흔히 송막이라고 부르는 막걸리다. 직접 재배한 밀로 누룩을 만들고 직접 재배한 쌀로 술을 빚는다. 무첨가 막걸리 텁텁하고 시큼한 맛이 나는 막걸리 단맛이 거의 느껴지지 않는 막걸리다. 대한민국 식품명인 제48호 송명섭 명인이 본인의 이름을 걸고 빚은 수제 막걸리이다.," 대한민국 식품명인 송명섭 명인이 정성껏 빚은 술 송명섭 막걸리를 빚고 있는 송명섭 명인은 죽력고로 2003년 전라북도 무형문화재 제6-3호로 지정되었고 2012년 대한민국 식품명인 제48호로 지정되었다. 송명섭 막걸리, 죽력고의 유명세에 개량화하여 대량생산을 하자는 수많은 제의를 받고 있지만 상업화와 자본의 논리로 전통주의 원형을 손상시킬 수 없다는 장인정신으로 지금도 전통적인 수공업 방식으로 소량만 생산하는 프리미엄 제품이다.,  쌀과 누룩, 그리고 물만으로 빚은 수제 막걸리 송명섭 막걸리를 마시면 이게 무슨 맛인가 하고 자문하게 된다. 우리가 흔히 마셨던 입국을 기반으로 아스파탐, 구연산 등 화학첨가물이 들어간 달고 신 막걸리에 비하면 무(無) 맛에 가깝기 때문이다. 무(無) 맛의 비법은 무(無) 첨가물. 다른 첨가물은 모두 배제한 채 쌀과 누룩으로만 막걸리를 빚는다. 드라이한 맛이 강한 송명섭 막걸리는 젊은 층 막걸리 마니아들 사이에서는 막걸리의 최고봉이라는 찬사를 받고 있는 제품이다.,  2014년 찾아가는 양조장으로 선정되다 제조사 태인합동주조는 2014년 농림축산식품부에서 지원육성하는 찾아가는 양조장에 선정되었다. 찾아가는 양조장은 소비자가 직접 양조장에 찾아가 전통주 관련 다양한 체험을 듣고 보고 경험하는 프로그램이다. 전통주 원료인 누룩과 효모에 대한 소개, 약주와 소주의 차이, 죽력고 만들기 체험등 태인합동주조만의 특화된 전통주 체험 프로그램을 체험할 수 있다.","송명섭 막걸리, 900ml, 6% 송명섭 막걸리는 빚는 이를 닮아 소박한 맛이 난다. 어떠한 첨가물로 넣지 않았기 때문에 대중적인 막걸리와는 달리 단맛과 신맛이 거의 느껴지지 않는다. 입맛을 사로잡는 달달함은 없지만 마시고 나서 입안을 개운하게 한다. 그렇기 때문에 계속해서 마셔도 질리지 않는 막걸리이다. 맵고 짠 한식이나 기름진 고기류와의 음식 궁합이 좋다."
8,이강주 375ml,배와 생강으로 빚은 이강주. 이 술은 조선 중기부터 전라도와 황해도에서 제조되었던 조선 3대 명주 중의 하나이다. 이강주의 재료인 울금은 전라도에서 재배하여 왕실에 진상품으로 올렸기 때문에 전라도 전주 곳곳에서는 이강주를 많이 빚어왔다. 이강주가 전주에 정착한 배경에는 태조 이성계와 동고동락을 같이 조인옥의 영향이 컸는데 바로 동방사현 중 한 명인 조광조를 배출한 한양조씨 가문이다. 구한말에는 그 후손이 전주(완산)의 부사로 오게 되는데 그러면서 집에서 담그는 약소주로 이강주를 빚게 되고 이 전주 부사의 손자가 지금의 이강주를 빚는 조정형 명인으로 이어지게 된다.," 이강주 복원 이강주를 빚는 조정형 명인이 전북의 무형문화재로 지정되면서 본격적으로 이강주 복원이 시작되었는데, 옛 생각이지만 술 빚기는 여자가 할 일이지 남자가 할 일이 아니라는 집안의 반대는 컸다. 조정형 명인은 이런 반대를 무릅쓰고 도서관과 연구소를 전전하며 우리술의 복원에 매달렸고 그 결과, 1996년에는 농식품부 식품명인 9호로 지정 되며 정통 도가의 길을 걸어왔다. 1987년 세상에 이강주를 등장시키기 전후로 50년 이상을 전통주와 함께 보낸 조정형 명인이다.  숙성의 시간이 다른 재료 쌀과 누룩 계피 생강 그리고 꿀로 만들어지는 이강주는 하나의 발효 통에 모든 재료를 다 넣고 발효를 시키는 것이 아니라 원료를 따로 넣어 발효한다. 계절과 시기에 따라 그 원물의 맛이 다르기에 따로 관리하면서 맛과 향을 맞추고 분석한다. 따로 6개월간 숙성된 후, 하나의 통에서 다시 1년 이상 숙성을 하는데 때에 따라서는 3년 이상의 장기 숙성을 하는 경우도 있다.  다른 맛 이강주 전통적으로 이강주의 알코올 도수는 25도 지만, 맛과 향을 조화시킨 19도 이강주와 높은 도수를 선호하는 사람들을 위한 38도 이강주를 출시함으로써 많은 사람들이 함께 즐길 수 있는 이강주를 개발하여 왔다. 이강주에서 느껴지는 배의 묵직함과 생강의 향긋함 그리고 꿀의 달콤함은 각각 다른 도수에서 다르게 느껴져 마실 때마다 새롭게 느껴지는 술이다.","이강주 375ml, 19% 술 안에서 익은 듯한 생강 향과 술 전체를 감싸는 계피향이 있으며 단맛이 강하고 혀를 자극시킬 정도의 도수와 바디감을 가지고 있다. 돼지 보쌈과 잘 어울린다."
9,1000억 유산균막걸리,전통주의 명가 (주)국순당에서 생산하는 1000억 유산균 막걸리는 김치 유산균인 식물성 유산균으로 생존력이 뛰어나 장까지 살아가며 유산균 1000억 마리는 일반 생막걸리(국순당 생막걸리) 보다 1000배 유산균음료 기준보다 100배나 많은 양이다.1000억 유산균 막걸리는 앞서가는 국순당의 기술로 2번의 쌀 발효와 3번의 유산균 발효를 적용하여 1000억 마리 이상(700ml 기준)의 유산균을 만들어낸 일반 막걸리의 한계를 뛰어넘은 막걸리다. 상큼한 신맛과 막걸리 특유의 바디감이 특징인 1000억 유산균막걸리는 매운 음식의 매운맛과 잘 어울린다.," 한국을 대표하는 전통주 기업 국순당 강원도 횡성군 둔내면 강변로, 둔내 IC 인근에 우리나라 대표적인 우리술 기업인 국순당의 본사와 횡성 양조장이 있다. 국순당은 지난 2004년 강원도 횡성에 우리나라 최대 규모의 전통주 양조장을 준공하면서 본사를 강원도 횡성으로 이전했다.‘술(酒)이 샘(泉) 솟는다’는 의미를 가진 주천강(酒泉江)변 청정지역에 위치한 국순당 횡성양조장에서 주류최초 정부지정 우수문화 상품인 백세주와 천년전 우리술을 되살린 복원주인 법고창신의 이화주, 사시통음주, 청감주 등을 비롯해 예담, 1000억 유산균 막걸리, 대박, 우국생, 옛날막걸리古, 국순당 쌀막걸리 등 우리 술을 생산 중이다. 이들 제품은 전 세계 50여 개국에 수출되어 우리나라 전통주를 알리고 있다.  술을 빚기 전에 사람을 먼저 생각 한다. 지난 1970년 창업 이래 모든 임직원들은 ‘술을 빚기 전에 사람을 먼저 생각 한다’는 철학을 바탕으로 술도 먹거리의 하나이기에 소비자의 건강과 안전을 위한 ‘좋은술의 고집’을 바탕으로 한 품질관리 노력과 ‘전통을 오늘에 맞게’ 라는 가치를 담아 우리술만의 가치를 만들고 지금의 소비자가 즐길 수 있도록 각자의 자리에서 최선을 다하고 있다. 국순당 임직원들은 우리 전통주를 계승, 발전시키는데 주력하여 현대인의 입맛에 맞는 전통주를 끊임없이 선보이고 있다.  찾아가는 양조장을 선정된 국순당 주향로 ‘술 향기 가득한 길’을 의미하는 주향로는 농림축산식품부가 지정한 ‘찾아가는 양조장’인 국순당 횡성양조장에 자리한 우리술 역사·문화 체험 공간이다. 국내 최대 규모의 전통주 양조장을 견학하며 다양한 우리술을 맛볼 수 있고, 우리술의 역사와 문화를 체험하는 좋은 추억을 간직할 수 있다. - 견학 운영 시간 : 화~토요일 (일요일, 월요일, 공휴일 휴무)- 전화문의 : 033-340-4300 (내선:6)- 온라인 예약 : http://drink.ksdb.co.kr","1000억 유산균막걸리, 750ml, 5% 잘 발효된 아이보리 컬러의 막걸리이다. 첫 번째로 다가오는 향은 신맛과 누룩향의 조화. 입안에 머금은 순간 화려한 산미가 입안에 확 퍼지면서 식욕을 돋우게 한다. 바로 담백한 쌀 맛이 느껴지며 마지막은 경쾌한 단맛의 잔상이 그려진다. 새콤함과 달콤함의 조화가 좋은 만큼 여름에 얼려서 슬러쉬로 먹어보면 무척 매력이 있을 듯하며, 신맛을 필요로 하는 보쌈, 족발 요리와의 조합이 기대된다. 운동 전후에도 마시면 피로감이 풀릴 듯 한 감식초와 같은 식감도 느껴진다."
