,맛_음식,상품명
0,"레돔 내추럴 스파클링 로제와인, 750ml, 7.5% 상큼한 포도 향이 그대로 느껴지는 충주의 스파클링 와인. 코르크를 열면 펑하는 소리가 샴페인을 그대로 떠오르게 한다. 가볍고 경쾌한 느낌이 신선하다는 이미지를 그대로 느끼게 해 준다. 여운은 길지 않지만, 잔잔한 과실향이 입안을 맴돈다. 식전주로도 좋지만, 단맛이 과하지 않아 식중주로도 충분히 쓰일 수 있다.",레돔 내추럴 스파클링 로제와인
1,"서울의 밤, 375ml, 25% 노간주나무열매가 들어간 진(GIN)의 느낌에 달콤한 향이 섞여 올라오는 것이 특징이다. 약간의 단맛이 술의 풍미를 좋게 만들고 입 안의 자극을 줄여준다. 입 안의 알코올 풍미가 가득하고 마시고 난 후에는 여운이 길게 남는다. 삼겹살과 아주 잘 어울린다.",서울의 밤
2,"제주 고소리술, 400ml, 40% 우리나라의 전통증류기인 토기로 만든 고소리(소줏고리)로 직접 내려 매우 귀한 소주이다. 상압증류(일반 기압에서 증류)로 증류해 맛과 향의 풍미가 강하고 좁쌀과 보리가 들어가 독특한 크림 같은 맛을 지니고 있으며, 기본 3년 숙성된 술이라 매우 부드러운 목 넘김을 가지고 있다. 기름기 많은 고등어 회와 잘 어울린다.",제주 고소리술
3,"오메기 술 750ml, 13% 상쾌하게 올라오는 과실향이 난다. 입 안에 넣으면 부드러운 바닐라 아이스크림이 녹는 듯 독특한 향미를 가지고 있다. 입 안에서 맛이 더 풍만해진다. 고사리 무침, 전 등의 음식과 함께하면 좋다.",오메기 술
4,"티나, 750ml, 16% 달콤한 딸기향에 예쁜 핑크색을 가진 술이다. 마치 맛있는 딸기사탕을 먹는 듯 하다. 알코올 도수가 낮아 누구나 편하게 즐길 수 있고, 색이 예쁘고 밤에 조명도 켜지기 때문에 로맨틱한 분위기를 연출한다. 여성들이 분위기 있는 곳에서 달콤하게 즐길 수 있는 술이다. 양념된 안주류보다는 캐러멜이나 케익 등과 함께하기 좋은 술이다.",티나
5,"붉은원숭이 375ml, 10.8% 홍곡균을 이용해 색이 붉고 전체적으로 단맛, 신맛, 바디감 등이 적거나 강하지 않고 누구나 편하게 마실 수 있는 막걸리다. 불에 훈연된 바비큐와 잘 어울린다.",붉은 원숭이
6,"인천 생 소성주 750ml, 6% 원료인 팽화미에서 나오는 고소한 향이 올라오는 것이 특징이다. 전체적으로 바디감과 목넘김이 청량하고 가벼우며 삼킨 후 남는 은은한 텁텁함이 좋다. 생선회와 잘 어울린다.",인천 생 소성주
7,"송명섭 막걸리, 900ml, 6% 송명섭 막걸리는 빚는 이를 닮아 소박한 맛이 난다. 어떠한 첨가물로 넣지 않았기 때문에 대중적인 막걸리와는 달리 단맛과 신맛이 거의 느껴지지 않는다. 입맛을 사로잡는 달달함은 없지만 마시고 나서 입안을 개운하게 한다. 그렇기 때문에 계속해서 마셔도 질리지 않는 막걸리이다. 맵고 짠 한식이나 기름진 고기류와의 음식 궁합이 좋다.",송명섭 막걸
8,"이강주 375ml, 19% 술 안에서 익은 듯한 생강 향과 술 전체를 감싸는 계피향이 있으며 단맛이 강하고 혀를 자극시킬 정도의 도수와 바디감을 가지고 있다. 돼지 보쌈과 잘 어울린다.",이강주 375ml
9,"1000억 유산균막걸리, 750ml, 5% 잘 발효된 아이보리 컬러의 막걸리이다. 첫 번째로 다가오는 향은 신맛과 누룩향의 조화. 입안에 머금은 순간 화려한 산미가 입안에 확 퍼지면서 식욕을 돋우게 한다. 바로 담백한 쌀 맛이 느껴지며 마지막은 경쾌한 단맛의 잔상이 그려진다. 새콤함과 달콤함의 조화가 좋은 만큼 여름에 얼려서 슬러쉬로 먹어보면 무척 매력이 있을 듯하며, 신맛을 필요로 하는 보쌈, 족발 요리와의 조합이 기대된다. 운동 전후에도 마시면 피로감이 풀릴 듯 한 감식초와 같은 식감도 느껴진다.",1000억 유산균막걸
