번호,상품명,주종,알코올 도수(%),용량(ml),원재료
1,청명주750,약주,17,750,"국내산 찹쌀, 누룩, 소맥분"
2,청명주500,약주,17,500,"국내산 찹쌀, 누룩, 소맥분"
3,아이원막걸리,탁주,6,750,"쌀, 밀, 입국, 누룩, 정제수"
4,시인의마을,탁주,10,750,"쌀(국내산), 누룩, 정제수, 무감미료"
5,향수,탁주,9,750,"우리밀, 누룩, 정제수, 무감미료"
6,사미인주,탁주,8,750,"유기농햅쌀(국내산), 벌꿀(국내산), 입국, 누룩, 효모, 정제수"
7,꿀막걸리,탁주,8,750,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소"
8,청산녹수생탁주,탁주,6,750,"쌀(국내산), 사과농축액, 효모, 정제효소"
9,한스오차드,과실주,11,750,국산사과원액 100%
10,애피소드애플,과실주,3.5,500,"사과와인, 정제주정, 정제수, 사과농축액, 고과당"
11,애피소드상그리아,과실주,3.5,500,"포도와인, 정제주정, 정제수, 포도농축액, 고과당"
12,애피소드호프,기타주류,3.5,500,"사과과즙, 보리, 쌀, 홉"
13,더찾을수록 시리즈(피치),과실주,14,360,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)"
14,더찾을수록 시리즈(모스카토),과실주,14,360,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)"
15,더찾을수록 시리즈(애플),과실주,16,360,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)"
16,더찾을수록 시리즈(감귤),과실주,16,360,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)"
17,더찾을수록 시리즈(생강),과실주,16,360,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)"
18,더찾을수록 시리즈(아메리카노),과실주,14,360,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)"
19,뱅꼬레레드와인,과실주,12,375,양조용포도(경북 영천)
20,뱅꼬레로제와인,과실주,11.5,375,양조용포도(경북 영천)
21,뱅꼬레화이트와인,과실주,11,375,양조용포도(경북 영천)
22,뱅꼬레아이스와인,과실주,12,375,양조용포도(경북 영천)
23,스타베리오디와인,과실주,12,500,양조용포도(경북 영천)
24,미소생막걸리,탁주,7,750,"쌀(국내산), 누룩, 정제수"
25,왕피천미소생막걸리,탁주,7,750,"쌀, 누룩, 정제수"
26,오메기맑은술,약주,16,500,"좁쌀, 햅쌀, 정제수, 누룩"
27,제주고소리술,증류식소주,40,400,"잡곡, 누룩, 정제수"
28,호담산양산삼막걸리,탁주,6,750,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐"
29,월매쌀막걸리캔,살균탁주,6,350,"백미, 말토올리고당, 정제수"
30,니모메,약주,11,375,"쌀(국내산), 감귤 진피, 정제수"
31,세우리,일반증류주,45,700,"산양삼, 하수오, 구기자, 쌀"
32,고도리화이트스위트,과실주,10.5,750,거봉포도(경북 영천)
33,고도리화이트드라이,과실주,10.5,750,거봉포도(경북 영천)
34,고도리레드스위트,과실주,12,750,MBA 머루포도(경북 영천)
35,고도리복숭아,과실주,6.5,750,복숭아(경북 영천)
36,고운달오크,일반증류주,52,500,오미자(문경산)
37,고운달백자,일반증류주,52,500,오미자(문경산)
38,문경바람오크,일반증류주,40,750,사과(문경산)
39,문경바람백자40,일반증류주,40,750,사과(문경산)
40,문경바람백자25,일반증류주,25,750,사과(문경산)
41,오미로제프리미어,과실주,12,750,오미자(문경산)
42,원매,리큐르,15,750,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수"
43,서울의밤,리큐르,25,375,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수"
44,고창복분자주300,과실주,13,300,"복분자과실, 주정, 효모, 구연산, 정제수"
45,고창복분자주1800,과실주,15,1800,"복분자과실, 주정, 효모, 구연산, 정제수"
46,쿨샷7.5,과실주,7.5,300,"복분자과실, 주정, 효모, 구연산, 정제수"
47,고창블루베리주,과실주,13,300,"블루베리과실, 주정, 효모, 구연산, 정제수"
48,한비쌀소주,증류식소주,40,375,"국내산 쌀, 누룩, 정제수"
49,한비오가피술,리큐르,35,375,"국내산 쌀, 누룩, 가시오가피 뿌리, 정제수"
50,한비동충하초술,리큐르,35,375,"국내산 쌀, 누룩, 가시오가피 뿌리, 동충하초, 정제수"
51,한비무병장수술,리큐르,35,375,"국내산쌀, 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유"
52,계룡산산삼주40%,일반증류주,40,740,"산양산삼, 정제주, 주정"
53,계룡산산삼주21%,일반증류주,21,740,"산양산삼, 정제주, 주정"
54,능이주,살균약주,13,375,"국내산 쌀, 능이농충액, 누룩, 정제수"
55,송이주,살균약주,13,375,"국내산 쌀, 송이농충액, 누룩, 정제수"
56,화주,일반증류주,25,375,"국내산 쌀, 홍삼농축액, 정제수"
57,강소주,일반증류주,50,200,"국내산 쌀, 정제수"
58,감그린레귤러,과실주,12,750,감(국내산)
59,감그린스페셜,과실주,12,750,감(국내산)
60,감그린아이스와인,과실주,10,375,감(국내산)
61,이화백주,탁주,6,940,"국내산 햅쌀, 전통 누룩, 정제수"
62,밤꽃향기,약주,13.5,375,"국내산 쌀, 밤, 누룩, 정제수"
63,왕율주,일반증류주,25,330,"국내산 쌀, 밤, 누룩, 정제수"
64,진쾌남,리큐르,25,330,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수"
65,공주애오디와인,과실주,15,375,"국내산 오디, 정제수, 주정, 과당, 효모"
66,도문대작,탁주,10,750,"강릉 쌀, 누룩, 갯방풍나물, 정제수"
67,청진주,약주,16,375,"찹쌀, 누룩, 정제수"
68,아황주,약주,17,500,"찹쌀, 멥쌀, 누룩, 정제수"
69,미인탁주,탁주,10,500,"찹쌀, 누룩, 정제수"
70,미인약주,약주,15,500,"찹쌀, 누룩, 정제수"
71,삼양춘탁주,탁주,12.5,500,"강화섬쌀, 전통누룩, 정제수"
72,삼양춘약주,약주,15,500,"강화섬쌀, 전통누룩, 정제수"
73,술그리다,탁주,10,500,"국내산 쌀, 누룩"
74,술예쁘다,탁주,13,500,"국내산 쌀, 누룩"
75,천비향오양주탁주,탁주,14,500,"국내산 쌀, 누룩"
76,천비향오양주약주,약주,16,500,"국내산 쌀, 누룩"
77,천비향화주,증류식소주,40,375,"국내산 쌀, 누룩"
78,김포예주,살균약주,13,750,"국내산 쌀, 국, 효모, 젖산, 정제수"
79,김포약주(병),살균약주,11,750,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수"
80,김포약주(PET),살균약주,11,750,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수"
