,상품명,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
0,감 보드카,,3.0,2.0,4.0,,,,
1,감아락 25도,2.0,2.0,2.0,,,,,
2,감이슬,,2.0,2.0,2.0,,,,
3,감홍로 백자,3.0,4.0,3.0,,,,,
4,감홍로 청자,3.0,4.0,3.0,,,,,
5,강소주,,3.0,4.0,2.0,,,,
6,겨울소주 25,,4.0,4.0,3.0,,,,
7,계룡백일주 12년,3.0,4.0,3.0,,,,,
8,계룡백일주 30도,2.0,3.0,2.0,,,,,
9,계룡백일주 40도,3.0,3.0,3.0,,,,,
10,계룡산 산삼주 금수강산 21%,,2.0,2.0,2.0,,,,
11,계룡산 산삼주 금수강산 40%,,3.0,3.0,3.0,,,,
12,고운달 백자,,5.0,3.0,4.0,,,,
13,고운달 오크,,5.0,4.0,3.0,,,,
14,귀감,,3.0,3.0,2.0,,,,
15,금산인삼주,1.0,3.0,4.0,,,,,
16,김천 과하주 23도,1.0,2.0,1.0,,,,,
17,녹고의눈물,2.0,3.0,2.0,,,,,
18,느낌 19.8,,2.0,2.0,2.0,,,,
19,느낌 30,,3.0,3.0,3.0,,,,
20,담양죽력고,,3.0,4.0,3.0,,,,
21,독산 53,,4.0,2.0,5.0,,,,
22,동강더덕주,3.0,2.0,3.0,,,,,
23,두레앙 22,,4.0,1.0,2.0,,,,
24,두레앙 증류주,2.0,2.0,2.0,,,,,
25,두리향,,4.0,3.0,3.0,,,,
26,려(驪)고구마증류소주 25도,,3.0,2.0,1.0,,,,
27,려(驪)고구마증류소주 40도,,3.0,2.0,2.0,,,,
28,려(驪)증류소주 25도,,1.0,3.0,1.0,,,,
29,로얄 안동소주 18년,3.0,4.0,1.0,,,,,
30,르깔롱,,4.0,4.0,4.0,,,,
31,마주 소곡주,,4.0,3.0,3.0,,,,
32,막시모40,,3.0,4.0,3.0,,,,
33,매실원주 15도,3.0,3.0,2.0,,,,,
34,메밀로,,4.0,3.0,3.0,,,,
35,명술,2.0,3.0,2.0,,,,,
36,명품 진도홍주,3.0,3.0,3.0,,,,,
37,모월 로,,2.0,3.0,2.0,,,,
38,모월 인,,3.0,4.0,3.0,,,,
