,상품명,주종,도수,용량,원재료,가격수정,ml당_가격
0,레돔 내추럴 스파클링 로제와인,과실주,7.5,750,포도,38000,50.67
1,서울의 밤,리큐르,25,375,"매실증류주원액,벌꿀,포도당,노간주나무열매,정제수",7500,20.0
2,제주 고소리술,증류식소주,40,400,"잡곡,누룩,정제수",45000,112.5
3,오메기 술,약주,13,375,"쌀,차조,입국,누룩,효모,효소,청호,조릿대,감초,정제수",13000,34.67
4,티나,리큐르,16,750,"딸기추출물,죽력,정제수,주정,액상과당",54000,72.0
5,붉은 원숭이,살균탁주,10.8,375,쌀,7000,18.67
6,인천 생 소성주,탁주,6,750,"쌀,팽화미,정제수,국,효모,아스파탐,효소,이소말토올리고당",1200,1.6
7,송명섭 막걸리,탁주,6,900,"국내산쌀,곡자,정제수",3000,3.33
8,이강주 375ml,리큐르,19,375,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",4500,12.0
9,1000억 유산균막걸리,탁주,5,750,쌀,3200,4.27
10,청송 주왕 사과막걸리,탁주,6,750,쌀,1500,2.0
11,고소리 술,증류식소주,40,700,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",45000,64.29
12,니모메,약주,11,375,쌀,36000,96.0
13,김포예주 프리미엄,살균약주,13,750,"국내산쌀,국,효모,젖산,정제수",15000,20.0
14,죽력고,일반증류주,32,700,"국내산쌀,죽력,누룩,정제수",60000,85.71
15,매실원주 15도_300ml,리큐르,15,300,"매실주원액,발효주정,정제수,꿀",6000,20.0
16,오매락퍽_500ml,리큐르,40,500,"구운매실,배증류원액",52000,104.0
17,조선주조사,청주,14,300,쌀,9000,30.0
18,고운달 오크,일반증류주,52,500,오미자,360000,720.0
19,느린마을 막걸리,탁주,6,750,"쌀,국,효모,정제수",2300,3.07
20,담은,살균탁주,6,750,쌀,15000,20.0
21,녹고의눈물_700ml,기타주류,16,500,섬오가피,23000,46.0
22,황진이_375ml,살균약주,12,375,"쌀,오미자,산수유",3500,9.33
23,문경바람 오크,일반증류주,40,750,사과,44000,58.67
24,오메기 맑은술,약주,16,500,"좁쌀,햅쌀,정제수,누룩",25000,50.0
25,톡 쏘는 알밤동동,기타주류,6,350,"쌀,정제수,입국,밤농축액,밤추출물등",1300,3.71
26,이화주,탁주,8,100,쌀,6500,65.0
27,고소리 술,증류식소주,40,375,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",25000,66.67
28,대통대잎술 십오야,약주,15,700,"쌀,누룩,갈근,구기자,솔잎,진피등",16000,22.86
29,안동소주 일품 21도_350ml,증류식소주,21,350,"국내산쌀,입국",13500,38.57
30,맑은내일 Winery 단감명작,과실주,7,750,단감,20000,26.67
31,월매 쌀막걸리,살균탁주,6,350,"백미,말토올리고당,정제수",1200,3.43
32,한산소곡주,살균약주,18,360,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",6500,18.06
33,원매 프리미엄_700ml,리큐르,20,700,"매실주원액,발효주정,정제수,꿀",45000,64.29
34,1000억 막걸리 프리바이오,탁주,5,750,쌀,3500,4.67
35,은자골 생 탁배기,탁주,5,750,"백미,소맥분,정제수,전분당,국,누룩,효소,아스파탐등",1500,2.0
36,담솔 40%,리큐르,40,500,"정제수,국내산쌀,국내산송순농축액",22000,44.0
37,강쇠_370ml,살균약주,13,370,"쌀,누룩,오가피",2500,6.76
38,풍정사계 춘_500ml,약주,15,500,"국내산찹살,향온곡",30000,60.0
39,타미앙스,일반증류주,40,500,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",50000,100.0
40,이화백주,탁주,6,940,"국내산햅쌀,전통누룩,정제수",12000,12.77
41,나루 생막걸리 6%,탁주,6,935,쌀,7000,7.49
42,복순도가 손 막걸리,탁주,6.5,935,쌀,12000,12.83
43,천매_600ml,리큐르,30,600,"매실주원액,발효주정,정제수,꿀",130000,216.67
44,뱅꼬레로제_375ml,과실주,11.5,375,양조용포도,23000,61.33
45,맑은내일 발효막걸리,탁주,7,750,쌀,6500,8.67
46,장수 생 막걸리_750ml,탁주,6,750,백미,1200,1.6
