,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감,contents
0,1000억 막걸리 프리바이오,탁주,5.0,750,쌀,3500,4.67,,3.0,,,4.0,3.0,3.0,,전통주의 명가 주국순당에서 생산하는 억 막걸리 프리바이오는 내 몸속의 좋은 유산균을 키워주고 나쁜 유균을 억제시키는 역할을 하며 장내 유익균의 먹이가 되는 성분인 프리바이오틱스를 함유한 막걸리다식물성 유산균을 특한 국순당의 억 유산균 막걸리와 동일 과정으로 유산균을 만들어 내고 두 번의 쌀 발와 세 번의 유산균 발 이의 공정에서 유산균의 먹이가 되는 프리바이오틱스를 만들어 낸다 억 유산균 막걸리가 내 몸속에 식물성 유산균을 늘려주면 억 막걸리 프리바이오는 식물성 유산균이 잘 성 되도록 주는 역할을 한다 한국을 대표하는 전통주 기업 국순당 강원도 성군 둔내면 강변로 둔내 인근에 우리나라 대표적인 우리술 기업인 국순당의 본사와 성 양조장이 국순당은 지난 강원도 성에 우리나라 최대 규모의 전통주 양조장을 준공하면서 본사를 강원도 성으로 이전다술이 샘 솟는다는 의미를 가진 주천강변 청정지역에 위치한 국순당 성양조장에서 주류최초 정부지정 우수문 상품인 백세주와 천년전 우리술을 되살린 복원주인 법고창신의 이주 사시통음주 청감주 등을 비롯 예담 억 유산균 막걸리 대박 우국생 옛날막걸리 국순당 쌀막걸리 술을 생산 중이다 이들 제품은 전 세계 개국에 수출되어 우리나라 전통주를 알리고 술을 빚기 전에 사람을 먼저 생각 한다 지난 창업 모든 임직원들은 술을 빚기 전에 사람을 먼저 생각 한다는 철학을 바탕으로 술도 먹거리의 하나이기에 소비자의 건강과 안전을 위한 좋은술의 고집을 바탕으로 한 품질관리 노력과 전통을 오늘에 맞게 라는 가치를 담아 우리술만의 가치를 만들고 지금의 소비자가 즐길 수 있도록 각자의 자리에서 최선을 다하고 국순당 임직원들은 전통주를 계승 발전시키는데 주력하여 대인의 입맛에 맞는 전통주를 끊임없이 선보이고 찾아가는 양조장을 선정된 국순당 주로 술 기 가득한 길을 의미하는 주로는 농림축산식품부가 지정한 찾아가는 양조장인 국순당 성양조장에 자리한 우리술 역사문 체 공간이다 국내 최대 규모의 전통주 양조장을 견학하며 다양한 우리술을 맛볼 수 있고 우리술의 역사와 문를 체하는 좋은 추억을 간직할 수 견학 운영 토요일 일요일 월요일 공일 무 전문의 내선 온라인 예약 억 막걸리 프리바이오 옅은 복숭아의 색을 가진 막걸리로 잘 발된 쌀의 밀의 구수함 부드러운 새콤함이 공존하는 가지고 첫맛은 유산균의 동으로 산뜻한 새콤함이 몰려오며 이내 경쾌한 탄산감이 다가온다 마지막은 막걸리 특유의 고소함으로 마무리를 한다요구르트와 유사한 식감을 가지고 있으며 막걸리 초보자에게 추천하고 싶은 맛이기도 하다 새콤함이 좋아서 참외 수박 오이 담백한 과실 채소와도 잘 어울리는 맛이다 여름에는 시원하게 생맥주 잔에 마셔도 전 어색하지 않은 청량감도 가지고
1,1000억 유산균막걸리,탁주,5.0,750,쌀,3200,4.27,,3.0,,,5.0,5.0,3.0,,전통주의 명가 주국순당에서 생산하는 억 유산균 막걸리는 김치 유산균인 식물성 유산균으로 생존력이 뛰어나 장까지 살아가며 유산균 억 마리는 일반 생막걸리국순당 생막걸리 보다 배 유산균음료 기준보다 배나 많은 양이다억 유산균 막걸리는 앞서가는 국순당의 기술로 번의 쌀 발와 번의 유산균 발를 적용하여 억 마리 기준의 유산균을 만들어낸 일반 막걸리의 한계를 뛰어넘은 막걸리다 상큼한 신맛과 막걸리 특유의 바디감이 특징인 억 유산균막걸리는 매운 음식의 매운맛과 잘 어울린다 한국을 대표하는 전통주 기업 국순당 강원도 성군 둔내면 강변로 둔내 인근에 우리나라 대표적인 우리술 기업인 국순당의 본사와 성 양조장이 국순당은 지난 강원도 성에 우리나라 최대 규모의 전통주 양조장을 준공하면서 본사를 강원도 성으로 이전다술이 샘 솟는다는 의미를 가진 주천강변 청정지역에 위치한 국순당 성양조장에서 주류최초 정부지정 우수문 상품인 백세주와 천년전 우리술을 되살린 복원주인 법고창신의 이주 사시통음주 청감주 등을 비롯 예담 억 유산균 막걸리 대박 우국생 옛날막걸리 국순당 쌀막걸리 술을 생산 중이다 이들 제품은 전 세계 개국에 수출되어 우리나라 전통주를 알리고 술을 빚기 전에 사람을 먼저 생각 한다 지난 창업 모든 임직원들은 술을 빚기 전에 사람을 먼저 생각 한다는 철학을 바탕으로 술도 먹거리의 하나이기에 소비자의 건강과 안전을 위한 좋은술의 고집을 바탕으로 한 품질관리 노력과 전통을 오늘에 맞게 라는 가치를 담아 우리술만의 가치를 만들고 지금의 소비자가 즐길 수 있도록 각자의 자리에서 최선을 다하고 국순당 임직원들은 전통주를 계승 발전시키는데 주력하여 대인의 입맛에 맞는 전통주를 끊임없이 선보이고 찾아가는 양조장을 선정된 국순당 주로 술 기 가득한 길을 의미하는 주로는 농림축산식품부가 지정한 찾아가는 양조장인 국순당 성양조장에 자리한 우리술 역사문 체 공간이다 국내 최대 규모의 전통주 양조장을 견학하며 다양한 우리술을 맛볼 수 있고 우리술의 역사와 문를 체하는 좋은 추억을 간직할 수 견학 운영 토요일 일요일 월요일 공일 무 전문의 내선 온라인 예약 억 유산균막걸리 잘 발된 아이보리 컬러의 막걸리이다 첫 번째로 다가오는 은 신맛과 누룩의 조 입안에 머금은 순간 려한 산미가 입안에 퍼지면서 식욕을 돋우게 한다 담백한 쌀 맛이 느껴지며 마지막은 경쾌한 단맛의 잔상이 그려진다 새콤함과 달콤함의 조가 좋은 여름에 얼려서 슬러쉬로 먹어보면 무척 매력이 있을 듯하며 신맛을 필요로 하는 보쌈 족발 요리와의 조합이 기대된다 운동 전에도 마시면 피로감이 풀릴 듯 한 감식초와 같은 식감도 느껴진다
2,1932 새싹땅콩 햅쌀막걸리,살균탁주,6.0,900,쌀,15000,16.67,,,,,2.0,3.0,2.0,,당년도 쌀과 새싹땅콩농축액을 주원료로 생쌀 발법으로 제조한 프리미엄 막걸리이다 전통누룩에서 뽑아낸 우수한 균주를 사용하였다 합성인공감미료를 전 사용하지 않은 제품으로 미생물 조절 발 방식으로 냉장보관을 하여 개봉 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변가 없다 포천일동막걸리의 프리미엄 막걸리 제품이다 색감은 우유빛 맛은 묵직함 설립하여 년의 역사를 자랑하는 포천일동막걸리에서 새롭게 출시한 프리미엄 막걸리이다 새싹땅콩과 국내산 쌀이 어우러진 제품으로 들어 개봉을 도 넘치지 않고 탄산이 없어 목넘김이 매우 부드럽다 땅콩에 함유된 레스베라트롤 성분이 산 작용을 하며 콜레스테롤을 낮춰주는 역할도 한다 국내산 쌀 빚은 무첨가 순수 막걸리 새싹땅콩 쌀막걸리는 국내산 쌀을 사용하였으며 인공감미료를 첨가하지 않았다 땅콩이 어우러져 고소한 맛이 느껴지고 은근한 단맛을 자아낸다 우유빛처럼 색감으로 알코올 느낌은 적으나 의외로 묵직한 맛을 지니고 전통의 제조기법이 만든 세기 막걸리 이병규옹이 설립한 장천양조장으로 주식사 일동막걸리로 명칭을 변경한 지금까지 대째 술을 빚고 있는 막걸리 제조의 명가이다 쌓아온 막걸리 제조기법을 통 젊은 소비자에게 어필할 수 있는 대적 감각의 막걸리가 탄생하게 되었다 품질관리 인증시스템 구축 오랜 역사를 통 보다 우수한 품질 개발에 역량을 기울인 포천일동막걸리는 취득 인증서를 취득하는 품질에 걸맞는 안전한 제품 생산에도 역점을 두고 새싹땅콩 쌀막걸리 술 빛이 매우 고 곱다 강하지는 않지만 식물의 올라오고 술을 입 안에 넣으면 단맛이 올라오고 천천 올라오는 땅콩의 고소함이 입 전체에 스며든다 목넘김은 매우 부드럽고 크리미하다 여성들이 즐겨 먹을 수 있는 술이며 식주로 적합하다 케이크 디저트 음식과 잘 어울린다
3,1932 새싹땅콩 흑미막걸리,살균탁주,6.0,900,쌀,15000,16.67,,,,,1.0,1.0,3.0,,당년도 진도 미쌀과 새싹땅콩 농축액을 주원료로 생쌀 발법으로 제조한 프리미엄 막걸리이다 전통누룩에서 뽑아낸 우수한 균주를 사용하였다 합성인공감미료를 전 사용하지 않은 제품으로 미생물 조절 발 방식으로 냉장보관을 하여 개봉 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변가 없다 포천일동막걸리의 프리미엄 막걸리 제품이다 자색빛에 담긴 부드러움 설립하여 년의 역사를 자랑하는 포천일동막걸리에서 새롭게 출시한 프리미엄 막걸리이다 새싹땅콩과 진도미쌀이 어우러진 제품으로 들어 개봉을 도 넘치지 않고 탄산이 없어 목넘김이 매우 부드럽다 땅콩에 함유된 레스베라트롤 성분이 산 작용을 하며 콜레스테롤을 낮춰주는 역할도 한다 국내산 쌀 빚은 무첨가 순수 막걸리 새싹땅콩 미막걸리는 국내산 미쌀전남 진도을 사용하였으며 인공감미료를 첨가하지 않았다 미와 땅콩이 어우러져 고소한 맛이 느껴지고 고운 질감을 자랑한다 자주빛 막걸리 색감은 고적이고 맛은 부드럽고 가벼운 제품이다 전통의 제조기법이 만든 세기 막걸리 이병규옹이 설립한 장천양조장으로 주식사 일동막걸리로 명칭을 변경한 지금까지 대째 술을 빚고 있는 막걸리 제조의 명가이다 쌓아온 막걸리 제조기법을 통 젊은 소비자에게 어필할 수 있는 대적 감각의 막걸리가 탄생하게 되었다 품질관리 인증시스템 구축 오랜 역사를 통 보다 우수한 품질 개발에 역량을 기울인 포천일동막걸리는 취득 인증서를 취득하는 품질에 걸맞는 안전한 제품 생산에도 역점을 두고 새싹땅콩 미막걸리 미로 술을 빚어 검붉은 색을 가지고 있으며 곡물보다는 상큼한 더 강하게 올라온다 입에 넣으면 탄산에 의한 청량미가 도드라지고 뒤로 단맛이 쫒아오는 국이다 산미가 있어 전체적으로 가볍고 목넘김이 매우 깔끔하다 돼지 갈비 구은 고기와 잘 어울린다
4,33JU,일반증류주,18.0,500,"산양산삼,주정,결정과당,효소처리스테비아,에리스리톨,호박산,꿀",49000,98.0,3.0,1.0,4.0,1.0,,,,,강원도 깊은 산의 정기를 가득 품은 년근 이상의 산양산삼을 고온과 저온 추출하여 숙성한 전통주로 진하게 녹아든 진세노사이드사포닌 성분과 산양산삼 고유의 진하게 풍기고 부드럽게 넘어가는 다 명주이자 보주인 산양산삼이 머금고 있는 능을 더 깊이 끌어내기 위 옛 주조 방식 그대로 천천 추출한 전통 방식의 약주다 산양산삼 고유의 풍미가 진하게 느껴지고 부드러운 목 넘김으로 육사시미 소고기구이 삼겹살과 잘 어울린다
5,52C,일반증류주,17.5,500,"정제수,주정,쌀증류식소주원액,오이",10000,20.0,3.0,2.0,4.0,2.0,,,,,예전에 오이소주를 즐기던 사람이라면 오이 맛과 오이 기만 있을 거라고 생각 할 수도 는 상압 증류한 쌀증류식 소주의 맛과 기를 베이스로 지니고 여기에 오이과 연한 멜론의 특징을 지니고 차게 서 마셨을 경우 부드러운 증류식소주원액 베이스에 오이 특유의 시원한 청량감이 더져 무더운 여름철 최고의 선택이 될 수 색감은 연한 연두색으로 자연이 주는 초록의 신선함을 눈으로도 즐길 수 오이소주의 능 예전에 소주에 오이를 넣어 마시는 오이소주가 유던 적이 있었다 오이소주는 싱싱한 오이를 채 썰어 주전자에 넣고 소주를 두 병 정도 넣으면 되는 간단한 방법이었다 이렇게 하면 오이의 색과 소주의 알코올 성분에 침출되어 소주 특유의 쓴 맛과 알코올 기가 부드러워진다 세계 최초의 오이 증류주 세계 최초의 오이 증류주 는 주재료인 오이의 따서 라고 이름을 지었다 의미 차갑게 마시는 술답게 오이처럼 하게 싱싱한 오이 증류주 라는 슬로건을 채택다 골치 아픈 하루 일은 쿨하게 잊고 싱싱한 오이처럼 씽씽 달려봐요라는 의미를 담고 알뜰하게 파먹은 듯한 수박이 추억을 소한다 시원한 오이과 쌈싸름한 술맛이 오묘 어우러진다 테이블의 겁먹지 말 술술넘어가는 도의 한 술이다 곱창구이와 잘 어우러진다
6,G12 골디락스,탁주,12.0,500,"정제수,멥쌀",12000,24.0,,3.0,,,2.0,2.0,2.0,3.0,너무 달지도 않고 신맛도 강하지 않은 밸런스가 좋은 무첨가 프리미엄 탁주 단맛을 즐기는 전통주 입문자와 이제 자신의 취에 맛은 맛을 찾아가는 우리술 중급자에게 맞는 막걸리이다 골디락스 의미 골디락스 뜨겁지도 차갑지도 않은 적당한 상태를 의미한다 골드락스는 튀는 맛없이 맛과 알코올 도수가 적정한 균감을 가지고 장기 숙성 막걸리 일체의 첨가물이 가미가 없는 무첨가 막걸리 저온에서 장기 발와 극저온에서 장기 숙성 막걸리이다 모든 맛이 어우러진 막걸리 싱그러운 과실 은은한 산미와 미한 단맛 묵직한 보디감과 씁쓸함 모든 맛이 어우러진 마시기 좋은 막걸리이다 골디락스 진한 탁도를 가진 미색으로 저온 공법 특유의 바닐라 과실이 주를 이룬다 단맛이 적은 편이고 알싸한 맛의 여운이 남는다 높은 알코올 도수를 가진 막걸리로 단맛이 적고 묵직한 맛이 인상적이다 닭백숙 오리백숙 편육 새우젓 겉절이와 먹기에 좋다
7,The 찾을수록 시리즈,과실주,14.0,360,"사과와인,정제수,정제주정외제품별농축액",9000,25.0,,2.0,,,2.0,3.0,4.0,,경북 의성은 사과의 주산지로 유명한 곳이다 주한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통 한국적인 사과와인을 생산하고 한국애플리즈는 년의 부단한 연구개발 끝에 사과와인을 베이스로한 사과소주 종을 출시하였다 복숭아 청포도 사과 감귤 생강 아메리카노를 가미하여 탄생한 종의 사과소주는 미국을 비롯한 개국에 수출되어 발하게 판매중이다 패키지는 소주지만 주종은 와인 주한국애플리즈는 석식 소주가 한국의 대표술로 인식되고 있는 국내외 시장에서 사과와인과 결합한 종의 사과소주를 생산하고 패키지 디자인은 녹색 석식 소주와 사하지만 제품은 증류주가 아닌 과실주로 분류된다 미국 마켓의 경우 맥주와 와인 판매가만 있는 경우 소주를 판매할 수 없는 점에 착안하여 디자인은 소주이나 제품은 사과와인으로 미국 내 많은 마켓에 입점하기 위한 전략에서 디자인된 제품이다 세계인이 인정하고 마신다 찾을수록 시리즈를 생산하는 주한국애플리즈의 제품은 와인품평 시카고 와인품평에서 은상을 수상하고 한국전통주류 베스트 선정 국세청 주류품평에서 동상을 수상하는 국내외 주류 전문가들에게 우수한 평가를 받은 제품이다 재 중국 일본 싱가폴 주 뉴질랜드 미국 베트남 러시아 다양한 나라도 수출하여 세계인의 입맛을 사로잡고 찾아가는 양조장으로 선정 주한국애플리즈는 농림축산식품부에서 지원육성하는 찾아가는 양조장에 선정되었다 찾아가는 양조장은 양조장 문체과 지역관광을 연계하는 전통주문체관광상품이다 넓은 사과 과수원을 견학하며 사과따기 체부터 나만의 와인만들기 체 와인시음 마련되어 있으며 긋한 사과소스로 만든 스테이크까지 즐길 수 찾을수록 시리즈 애플 가벼운 사과으로 시작 묵직한 알코올 맛으로 끝나는 술이다 식중주보다는 가벼운 식주로 스낵 등과 즐기기 좋다 진저 상큼하고 가벼운 생강으로 시작하지만 끝에서 다가오는 드라이한 맛이다 식중주보다는 가벼운 식주로 스낵 등과 즐기기 좋다 만다린 첫 만남은 감귤 다가오는 드라이한 알코올 맛이다 식중주보다는 가벼운 식주로 스낵 등과 즐기기 좋다 모스카토 청포도 주스에서 나오는 긋함과 이에 찾아오는 가벼운 알코올 맛이다 식중주보다는 가벼운 식주로 스낵 등과 즐기기 좋다 피치 감미로운 복숭아 주스에서 나오는 단맛과 단의 조를 이룬다 식중주보다는 가벼운 식주로 스낵 등과 즐기기 좋다 아메리카노 아메리카노라는 이름이 있지만 맛을 보면 진한 라떼의 느껴지는 술이다 라떼의 있어 맛만 본다면 쿠키류와도 잘 어울린다 병 디자인을 생각하면 가벼운 스낵 등도 즐길 수
8,가덕 순쌀 막걸리,탁주,6.0,750,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",13500,18.0,,3.0,,,3.0,3.0,3.0,,가덕 순쌀 막걸리는 충북 청주시에 위치한 양조장 명세주가에서 국내산 쌀로 정성껏 빚은 막걸리이다 명세주가는 경영주가 청원생명쌀의 고장인 청원군 가덕면 한계리에서 농약을 사용하지 않고 우렁이 농법으로 친경 재배한 지역 쌀을 원료로 막걸리 약주 증류주 다양한 제품을 생산하고 좋은 술을 만들기 위서는 원재료비가 비싸더라도 좋은 재료를 사용야 한다는 경영철학으로 맛과 품질에서 당당 소비자에게 내놓을 수 있는 술을 빚고 무농약 친경농법으로 재배한 명품쌀로 빚다 명세주가에서 생산하는 모든 제품은 경영주가 직접 재배한 청원생명쌀을 사용한다 청원생명쌀은 세계대 광천수의 고창에서 친경적 미량 요소가 풍부한 충적토에서 재배하여 영양이 풍부한 쌀로 연속 전국 쌀 품질평가에서 대상을 수상하고 고품질브랜드쌀 수상 연속 대한민국 인증을 득한 충북을 대표하는 명품쌀이다 특별한 술을 더욱 특별하게 만드는 맑은 물 술의 맛은 물이 좋아야 한다 명세주가가 위치한 가덕면 한계리는 백족산의 맑은 지하 암반수가 나오는 고장이다 백족산은 조선대 임금인 세조가 속리산의 복천암으로 차하던 중 날씨가 더워 백족산 산자락에서 물에 발을 담갔는데 발이 하얗게 되었다고 하여 백족산이라 불렀고 지금도 차고 맑은 물이 샘솟고 청원의 명품쌀과 백족산의 맑은 물이 만나 명세주가의 술 맛은 한층 특별졌다 순박하고 정겨운 느낌의 충북 명품 막걸리 가덕면 순쌀 막걸리는 제품명에서조차 순박하고 정겨운 느낌이다 뽀얀 우유 빛깔이 하얀 순쌀의 느낌을 그대로 표주고 있는데 탄산이 적고 은은한 단맛을 자아낸다 막걸리 특유의 냄새도 적고 깔끔한 맛이 난다 이미 충청북도 지역에서는 많은 소비자의 입맛을 사로잡은 지역 명품 막걸리이다가덕 순쌀 막걸리 순쌀이 주는 부드러움 느낌과 천연탄산에서 느껴지는 경쾌함이 다양한 음식과 잘 어울리는 전천적인 매력이 미나리전 고기 빈대떡 오이무침 족편 안주와 곁들이면 좋다
9,가을빛 레드와인,과실주,14.0,750,포도,35000,46.67,,2.0,,,3.0,3.0,2.0,,예인원에서 생산하는 남산애 가을빛 와인에는 일체의 인공첨가물 보존제도 들어 있지 않다 많은 와인들이 아산 소르빈산 등을 첨가하여 제품의 유통기한을 늘리는 등의 용도로 사용하는데 자연주의 수제 와인을 생산하고 있는 예인원에서는 자연 그대로의 맛을 전달하고자 포도 로만 와인을 빚고 그럼에도 수 많은 와인품평에서 수상하며 맛과 품질 모두에서 인정 받고 가을빛 레드와인은 늦 수한 포도를 건조하여 당도를 높여 캠벨얼리 품평으로 빚은 와인이다 알코올 도수는 도이며 짙은 루비색을 띈다 블랙베리 검은 과실 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며 우아하고 긴 여운이 인상적인 와인이다 자연주의 수제 와인을 지한다 와이너리 예인원은 애초에 자연주의 수제 와인을 염두 두지 않았다 늘 오던 대로 만들던 대로 와인을 만들어왔다 무첨가 노필터링 아무런 침전제도 사용하지 않고 모든 공정을 직접 손으로 만들어왔다 이렇듯 까다로운 수작업 예인원의 와인은 소량만 생산하는 프리미엄 와인이다 와인 전문가에게는 예인원의 자연주의 와인을 와인의 맛이라고 평가하고 예술작품과 와인을 접목한 아트라벨 경주에 위치한 남산은 경주인들이 사랑하는 대표적인 곳이다 예인원은 남산자락 아래 고즈넉한 한옥에 위치하고 예인원의 라벨 디자인에는 남산이 그려져 있는데 이는 경주에 위치한 솔거미술관의 박대성 백이 기증한 예술작품이다 예인원에서 생산하는 와인의 품격에 맞게 예술작품을 접목시켰는데 이채로운 아트마케팅으로 예인원의 와인을 더욱 빛나게 하고 와인품평에서 맛과 품질을 인정받다 예인원에서 생산하는 와인은 코리아 소믈리에 와인 어워드에서 남산에 빈티지 와인으로 동상을 수상 같은 한국와인대상에서 실버상을 수상하고 대전국제와인페어에서는 아시아 와인 트로피에서 남산애 포트와인으로 골드메달을 수상하였다 자연 그대로의 맛을 담아 예술작품과 접목 시킨 예인원의 와인의 맛과 품질은 와인품평에서 인정받았다가을빛 레드와인 맑은 빛의 포도 색이 매력적인 와인 기분 좋은 캠벨포도의 풍부하게 올라온다 단맛은 적은 듯하지만 느껴지는 맑은 단맛이 매력적으로 다가온다 산미는 적지도 많지도 않은 모습이 밸런스가 좋다라는 평할 수 있을 듯하다 탄닌감은 적은 스테이크 등의 고기류보다는 나물 잡채 등과 같은 자극성 적은 한식요리에 추천하고 싶다
