,정보,상품명
0,레돔 내추럴 스파클링 로제와인은 프랑스 농부가 한국 포도로 만든 와인이다. 내추럴 로제 말 그대로 가벼운 분홍빛 와인이다. 여기에 천연 발효된 버블이 들어간 것이 스파클링한 맛을 전해준다. 레드와인의 묵직함과는 달리 알코올 도수가 7.5%로 비교적 낮아 신선하고 심플한 맛이 나서 가볍게 마실 수 있는 제품이다. 프랑스 농가의 전통발효기법으로 만들고 여타의 식품 첨가물을 넣지 않은 자연주의 와인이다.,레돔 내추럴 스파클링 로제와인 
1,천매 매실원주 원매 프리미엄 원매 등 매실주를 전문으로 생산하고 있는 더한주류에서 2018년 새롭게 출시한 황매실을 원료로 증류주이다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 제품을 만든다는 제품 철학으로 황매를 이용한다. 서울의 밤은 스트레이트로 맛을 느끼고 언더락을 풍부한 향을 느끼고 칵테일로 완벽한 조화를 경험할 수 있는 새로운 차원의 매실 증류주이다.,서울의 밤 
2,제주 고소리술은 한 때 개성소주 안동소주와 더불어 우리나라 3대 소주로 손꼽을 정도로 그 명성을 떨쳤다. 향기롭고 진한 맛과 순한 듯 하면서도 은근하게 올라오는 취기로 술을 마시는 흥취가 있고 숙취가 없다고 한다. 제주 고소리술은 시간이 빚은 술이라고도 한다. 모든 과정이 손맛으로 빚어지고 오랜 기간 저온 항아리 숙성으로 부드럽고 목 넘김이 좋다.,제주 고소리술 
3,제주도는 예로부터 물이 귀한 특성상 논이 많지 않았다. 때문에 쌀이 귀했던 제주에서는 쌀 대신 많이 재배 하는 차조로 술을 빚기 시작했고 그로 인해 제주만의 특별한 전통주가 전해지게 되었다. 제주샘주는 전통방식을 재현하며 꾸준한 연구로 현대인의 기호에 맞게 발전 시키고 있으며 제주 화산 암반수와 청정 농산물 등 오롯이 제주의 원재료를 이용하여 바람과 햇살로 숙성시켜 자연의 맛으로 빚어내고 있다. 오메기는 좁쌀의 제주도 방언으로 결국 좁쌀로 만들어진 술이라는 뜻이다. 오메기떡을 사용하여 누룩과 함께 발효시킨 오메기술은 제주 선인들이 장구한 세월 동안 발전 시켜온 독특한 제주 전통 약주로써 다양한 연령층이 마시기 좋은 술이다.,오메기 술 
4,티나는 추성주로 22대 대한민국 식품명인에 지정된 양대수 명인이 출시한 젊은감각의 전통주이다. 국내산 신선한 딸기와 담양의 명품 대나무에서 나온 죽력을 원료로 만들며 주종은 리큐르로 분류된다. 딸기향과 맛이 풍부하고 온더락 칵테일 등으로 마실 수 있는 파티용 술이다. 병 하단에 부착된 버튼을 누르면 은은한 붉은빛 조명이 켜져 달콤한 술 맛과 함께 술자리의 분위기를 북돋아 준다. 2019년 대한민국 우리술품평회 기타주류부문에서 우수상을 수상하였다.,티나 
5,술샘에서는 장미를 그대로 말려놓은 것 같은 매력적인 붉은색 자태를 뽐내는 붉은 원숭이를 빚고 있다. 홍국쌀은 경기미를 자연발효 시켜 만드는 쌀로 이를 이용해 100% 수작업으로 붉은 원숭이를 빚는다. 슈퍼푸드라고 불리는 붉은색의 홍국쌀에는 성인병 예방에 도움을 주는 모나콜린K 성분을 함유하여 콜레스테롤 저하 중성지방 감소에 도움을 주는 것으로 알려져 많은 관심을 받고 있다.,붉은 원숭이 
6,1990년 업계 최초로 쌀 막걸리를 출시한 인천탁주. 90년대 초부터 수출을 시작하고 92년 우수 포장선정 국세청장의 표창까지 받은 유서 깊은 양조으로 인천지역 막걸리 시장의 큰손으로 자리매김하고 있다. 지난 1974년 인천지역의 11개 양조장의 합병으로 만들어져 72년간의 오랜 경험을 바탕으로 인천의 자부심을 가지고 막걸리를 빚고 있다. 생 소성주는 숙성시간과 담금 횟수를 늘려 부드럽고 톡 쏘는 탄산의 상쾌한 청량감이 느껴지며 특유의 감칠맛이 매력적이다.,인천 생 소성주 
7,막걸리 마니아들이 흔쾌히 국내 최고의 막걸리라고 손꼽는 송명섭 막걸리의 대표 송명섭 명인이 빚는 막걸리로 흔히 송막이라고 부르는 막걸리다. 직접 재배한 밀로 누룩을 만들고 직접 재배한 쌀로 술을 빚는다. 무첨가 막걸리 텁텁하고 시큼한 맛이 나는 막걸리 단맛이 거의 느껴지지 않는 막걸리다. 대한민국 식품명인 제48호 송명섭 명인이 본인의 이름을 걸고 빚은 수제 막걸리이다.,송명섭 막걸리 
8,배와 생강으로 빚은 이강주. 이 술은 조선 중기부터 전라도와 황해도에서 제조되었던 조선 3대 명주 중의 하나이다. 이강주의 재료인 울금은 전라도에서 재배하여 왕실에 진상품으로 올렸기 때문에 전라도 전주 곳곳에서는 이강주를 많이 빚어왔다. 이강주가 전주에 정착한 배경에는 태조 이성계와 동고동락을 같이 조인옥의 영향이 컸는데 바로 동방사현 중 한 명인 조광조를 배출한 한양조씨 가문이다. 구한말에는 그 후손이 전주(완산)의 부사로 오게 되는데 그러면서 집에서 담그는 약소주로 이강주를 빚게 되고 이 전주 부사의 손자가 지금의 이강주를 빚는 조정형 명인으로 이어지게 된다.,이강주 375ml 
9,전통주의 명가 (주)국순당에서 생산하는 1000억 유산균 막걸리는 김치 유산균인 식물성 유산균으로 생존력이 뛰어나 장까지 살아가며 유산균 1000억 마리는 일반 생막걸리(국순당 생막걸리) 보다 1000배 유산균음료 기준보다 100배나 많은 양이다.1000억 유산균 막걸리는 앞서가는 국순당의 기술로 2번의 쌀 발효와 3번의 유산균 발효를 적용하여 1000억 마리 이상(700ml 기준)의 유산균을 만들어낸 일반 막걸리의 한계를 뛰어넘은 막걸리다. 상큼한 신맛과 막걸리 특유의 바디감이 특징인 1000억 유산균막걸리는 매운 음식의 매운맛과 잘 어울린다.,1000억 유산균막걸리 
10,청송 사과막걸리 주왕은 청정지역 청송군에서 재배되는 사과와 쌀을 사용하고 지하 150m 지하수로 만든 막걸리다. 청송을 대표하는 막걸리로 알콜올 도수 6도로 청정지역 청송의 깨끗한 자연환경에서 빚어내는 막걸리다. 쌀과 밀의 조화로운 발효로 빚고 있으며 쌀은 묵은 쌀이 아닌 햅쌀만을 사용하여 최고의 품질을 유지하고 있다. 장시간 발효를 하므로 두통과 숙취가 덜하고고 새콤달콤한 맛을 낸다.,청송 주왕 사과막걸리 
11,고려시대 몽고 군의 침략으로 주둔지화 되었던 제주에서 몽고인들의 증류기법이 그대로 전해지면서 제주도에서도 증류주가 생산이 되었는데 제주도 최초의 증류주가 바로 고소리술이다. 제주샘주의 오메기술을 증류해서 빚는 고소리 술. 소주를 내리는 도구를 \소줏고리\라고 하는데 제주도에서는 이 소줏고리를 \고소리\라고 부르기 때문에 고소리술이란 이름이 붙었다. 고소리술은 농림축산 식품부의 우리술 품평회에서 최우수상과 2번의 대상 수상으로 3년 연속으로 수상하는 기염을 토하며 개성소주 안동소주와 함께 대한민국 3대 소주로 많이 알려져 있다.,고소리 술 
12,니모메(NIMOME)는 제주 방언으로 너의 마음에라는 의미를 담고 있다. 니모메는 제주산 쌀과 귤피를 원료로 제조한다. 술의 발효과정에 제주감귤진피를 함께 넣어서 제주도 특유의 천연 향으로 상큼함이 더했다. 니모메는 2017년 대한민국 우리술품평회 약주청주 부문에서 최우수상을 수상하여 맛과 품질 면에서 인정 받았다.,니모메 
