,상품명,keyword
0,1000억 막걸리 프리바이오,"['#막걸리', '#전통주', '#유산균', '#국순당', '#양조장', '#프리바이오', '#우리술']"
1,1000억 유산균막걸리,"['#전통주', '#국순당', '#유산균', '#양조장', '#막걸리', '#우리술']"
2,1932 새싹땅콩 햅쌀막걸리,['#막걸리']
3,1932 새싹땅콩 흑미막걸리,"['#막걸리', '#제품']"
4,33JU,
5,52C,"['#오이', '#증류', '#소주']"
6,G12 골디락스,['#막걸리']
7,The 찾을수록 시리즈,"['#가벼운', '#식중주보다는', '#스낵', '#등과', '#식주로', '#사과', '#즐기기']"
8,가덕 순쌀 막걸리,"['#막걸리', '#명세주가', '#명품', '#백족산', '#청원']"
9,가을빛 레드와인,"['#와인', '#예인원의', '#생산', '#남산', '#자연']"
10,가평 잣 막걸리,"['#막걸리', '#가평', '#우리술']"
11,감 보드카,"['#보드카', '#증류']"
12,감그린 레귤러,"['#특유', '#와인', '#청도']"
13,감그린 스페셜,"['#와인', '#청도']"
14,감그린 아이스와인,"['#와인', '#청도']"
15,감사,"['#전통', '#술샘', '#누룩']"
16,감아락 25도,"['#아락은', '#배상면', '#증류']"
17,감악산 머루주,"['#와인', '#산머루농원', '#머루']"
18,감이슬,"['#증류주', '#감이슬']"
19,감자술 13%,"['#감자', '#강원도']"
20,감홍로 백자,['#감로']
21,감홍로 청자,['#감로']
22,강소주,"['#강소주', '#알코', '#내국']"
23,강쇠,"['#강쇠', '#남원']"
24,걍즐겨,"['#막걸리', '#맥주', '#디오케', '#제조']"
25,겨울소주 25,['#술을']
26,경기전,"['#크래프트', '#있는', '#맥주', '#정신', '#전주']"
27,계룡백일주 12년,"['#지정', '#계룡백일주', '#궁중술', '#가문', '#조선', '#제조']"
28,계룡백일주 16도,"['#계룡백일주', '#지정', '#궁중술', '#가문', '#조선', '#제조']"
29,계룡백일주 30도,"['#궁중술', '#지정', '#가문', '#조선', '#제조']"
30,계룡백일주 40도,"['#오메', '#증류', '#만들', '#고소리']"
31,계룡산 산삼주 금수강산 21%,"['#산삼', '#산양산삼']"
32,계룡산 산삼주 금수강산 40%,"['#산삼', '#산양산삼']"
33,고도리 레드와인 스위트,"['#와이너리', '#와인', '#영천']"
34,고도리 복숭아와인,"['#복숭아', '#와이너리', '#영천시', '#와인']"
35,고도리 화이트와인 드라이,"['#와이너리', '#와인']"
36,고도리 화이트와인 스위트,"['#와이너리', '#와인']"
37,고소리 술 375ml,"['#오메', '#증류', '#만들', '#고소리']"
38,고운달 백자,"['#오미자', '#숙성', '#증류']"
39,고운달 오크,"['#오미자', '#숙성', '#오크', '#증류']"
40,고창복분자주300ml,"['#복분자', '#고창']"
41,고창선운산 땡큐블루베리주,"['#블루베리', '#고창']"
42,공주애 오디와인,"['#오디', '#공주']"
43,구기홍주 14,
44,구름을 벗삼아,"['#벗삼아', '#막걸리', '#문경']"
45,귀감,"['#감귤', '#제주', '#제조', '#귀감', '#시트러스', '#증류']"
46,그랑꼬또 M56,"['#와인', '#한국와인']"
47,그랑꼬또 M5610,"['#와인', '#포도', '#한국']"
48,그랑꼬또 레드와인,"['#와인', '#있는', '#포도', '#한국']"
49,그랑꼬또 로제와인,"['#와인', '#로제와', '#생산', '#한국와']"
50,그랑꼬또 청수,"['#와인', '#포도', '#한국']"
51,그랑꼬또 화이트와인,"['#와인', '#대부도', '#한국', '#포도']"
